Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PI170170,10.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,0.22622866488004537,0.0053255489367676915
PI170170,11.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,0.26767795749835405,0.0073267368732868555
PI170170,12.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,0.33702358669415816,0.004404590432781302
PI170170,13.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,0.36976511140799256,0.002856392469090909
PI170170,14.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,0.4935364209063567,0.01033633137385078
PI170170,15.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,0.5147091471064429,0.006078315530963814
PI170170,16.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,0.7637961477345521,0.010663249002974917
PI170170,17.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,0.9332975717459319,0.009347643793825312
PI170170,18.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,1.1285009839527025,0.023938460670679968
PI170170,19.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,1.5131761403900874,0.025527216267562058
PI170170,20.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,2.0084232358926934,0.04819773946010607
PI170170,21.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,2.729687440482328,0.09495919659655472
PI170170,22.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,3.6796876800668987,0.04360594601153439
PI170170,23.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,5.005458798684218,0.08019390459819739
PI170170,24.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,6.640199765704129,0.15135366972068232
PI170170,25.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,8.887063187490925,0.16924056440641078
PI170170,26.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,11.697515919361784,0.3226310237373085
PI170170,27.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,14.543988527821426,0.33607167765858126
PI170170,28.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,17.98910245758605,0.7200526187652777
PI170170,29.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,21.159921731613615,0.5373386588729845
PI170170,30.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,24.44125260771428,1.1912063379521187
PI170170,31.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,27.636935186785983,1.028123362600767
PI170170,32.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,30.411428629406373,1.9809210670858781
PI170170,33.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,33.24937870290519,1.53996432810799
PI170170,34.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,34.293164122273275,1.0803978685917595
PI170170,35.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,35.92535988411216,2.1062320032011015
PI170170,36.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,36.30825425996334,1.5864926944051096
PI170170,37.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,36.713393629577645,2.1296757670961126
PI170170,38.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,36.433636287513636,2.968018595119914
PI170170,39.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,35.99428101838793,2.467003355074755
PI170170,40.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,35.43917192129946,2.4998466465528915
PI170170,41.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,33.946910205230544,2.4214340458026853
PI170170,42.0,17.0,0.0,0.0,1,17.0,0.0,0.0,1,32.812971729119205,2.140917545002759
