CE,FA_C,FA_DB,FA_iso,norm_Intensity
11,12,0,0,58.22795503
12,12,0,0,47.55273997
13,12,0,0,36.89742997
14,12,0,0,26.83734499
15,12,0,0,18.14606499
16,12,0,0,11.48859199
17,12,0,0,6.8700233
18,12,0,0,3.816879997
19,12,0,0,1.961944799
20,12,0,0,0.9557737
21,12,0,0,0.426478801
22,12,0,0,0.15858693
23,12,0,0,0.041627474
24,12,0,0,0.004171867
11,14,0,0,59.38337299
12,14,0,0,48.43280398
13,14,0,0,37.51044497
14,14,0,0,27.53125399
15,14,0,0,18.862585
16,14,0,0,11.964333
17,14,0,0,7.009792996
18,14,0,0,3.844183196
19,14,0,0,2.056566499
20,14,0,0,1.045834299
21,14,0,0,0.4597205
22,14,0,0,0.16432755
23,14,0,0,0.05546023
24,14,0,0,0.017601825
11,16,0,0,59.38337299
12,16,0,0,48.43280398
13,16,0,0,37.51044497
14,16,0,0,27.53125399
15,16,0,0,18.862585
16,16,0,0,11.964333
17,16,0,0,7.009792996
18,16,0,0,3.844183196
19,16,0,0,2.056566499
20,16,0,0,1.045834299
21,16,0,0,0.4597205
22,16,0,0,0.16432755
23,16,0,0,0.05546023
24,16,0,0,0.017601825
11,16,3,7,57.64005001
12,16,3,7,46.17598996
13,16,3,7,35.08878699
14,16,3,7,24.990568
15,16,3,7,16.469385
16,16,3,7,10.08834101
17,16,3,7,5.779810999
18,16,3,7,3.069900001
19,16,3,7,1.481937299
20,16,3,7,0.655698599
21,16,3,7,0.25903618
22,16,3,7,0.084910244
23,16,3,7,0.018826285
24,16,3,7,0.001071979
11,17,0,0,62.93179001
12,17,0,0,52.30971501
13,17,0,0,40.94645001
14,17,0,0,30.07541799
15,17,0,0,20.71433999
16,17,0,0,13.31559998
17,17,0,0,7.931549995
18,17,0,0,4.372024501
19,17,0,0,2.2554955
20,17,0,0,1.084649399
21,17,0,0,0.45689315
22,17,0,0,0.13934594
23,17,0,0,0.022838302
24,17,0,0,0.002336572
11,18,0,0,64.13055009
12,18,0,0,53.86222502
13,18,0,0,42.77029797
14,18,0,0,31.76249896
15,18,0,0,22.07646199
16,18,0,0,14.19762801
17,18,0,0,8.480369005
18,18,0,0,4.757875998
19,18,0,0,2.442663399
20,18,0,0,1.123432401
21,18,0,0,0.47345304
22,18,0,0,0.16973832
23,18,0,0,0.039720144
24,18,0,0,0.004117079
11,18,3,6,59.03363801
12,18,3,6,47.61669494
13,18,3,6,36.14536302
14,18,3,6,25.67211503
15,18,3,6,16.96080199
16,18,3,6,10.35810199
17,18,3,6,5.817379003
18,18,3,6,3.021884401
19,18,3,6,1.455087102
20,18,3,6,0.63121265
21,18,3,6,0.22506611
22,18,3,6,0.05243193
23,18,3,6,0.003327081
11,18,4,8,58.55980003
12,18,4,8,47.24700004
13,18,4,8,35.60069301
14,18,4,8,25.11492502
15,18,4,8,16.42834502
16,18,4,8,9.936314997
17,18,4,8,5.600389002
18,18,4,8,2.94163
19,18,4,8,1.4208142
20,18,4,8,0.6239155
21,18,4,8,0.24785762
22,18,4,8,0.07365082
23,18,4,8,0.01182322
24,18,4,8,0.000911165
11,18,2,9,61.35019707
12,18,2,9,50.61179999
13,18,2,9,39.37619799
14,18,2,9,28.56474102
15,18,2,9,19.36962701
16,18,2,9,12.234244
17,18,2,9,7.113415698
18,18,2,9,3.800656996
19,18,2,9,1.8861033
20,18,2,9,0.85514146
21,18,2,9,0.3358981
22,18,2,9,0.09931629
23,18,2,9,0.016699268
24,18,2,9,0.001555992
11,20,0,0,65.10722003
12,20,0,0,54.97597495
13,20,0,0,44.14449001
14,20,0,0,33.00847596
15,20,0,0,22.53533399
16,20,0,0,14.300719
17,20,0,0,8.598082999
18,20,0,0,4.834176
19,20,0,0,2.499704598
20,20,0,0,1.1893741
21,20,0,0,0.5206024
22,20,0,0,0.1956299
23,20,0,0,0.045286622
24,20,0,0,0.001707275
11,20,3,5,59.44156005
12,20,3,5,48.51649998
13,20,3,5,37.15279403
14,20,3,5,26.555994
15,20,3,5,17.634453
16,20,3,5,10.68308301
17,20,3,5,5.928625601
18,20,3,5,3.087563498
19,20,3,5,1.517260599
20,20,3,5,0.70432484
21,20,3,5,0.2700241
22,20,3,5,0.05645926
11,20,4,5,59.00980562
12,20,4,5,47.47625601
13,20,4,5,35.8853227
14,20,4,5,25.320346
15,20,4,5,16.48666066
16,20,4,5,9.875390661
17,20,4,5,5.458027169
18,20,4,5,2.794399501
19,20,4,5,1.331316265
20,20,4,5,0.593199777
21,20,4,5,0.230571363
22,20,4,5,0.070003632
23,20,4,5,0.013709576
24,20,4,5,0.001659463
11,20,5,5,57.15625405
12,20,5,5,45.64946405
13,20,5,5,34.10819004
14,20,5,5,23.67325198
15,20,5,5,15.19564801
16,20,5,5,9.001657011
17,20,5,5,5.057070998
18,20,5,5,2.717778702
19,20,5,5,1.354017
20,20,5,5,0.6715284
21,20,5,5,0.3067244
22,20,5,5,0.08823018
23,20,5,5,0.006853539
11,20,4,8,59.11333507
12,20,4,8,48.41011999
13,20,4,8,37.08078999
14,20,4,8,26.45170197
15,20,4,8,17.53287301
16,20,4,8,10.656643
17,20,4,8,5.975816004
18,20,4,8,3.089816301
19,20,4,8,1.5052788
20,20,4,8,0.65551937
21,20,4,8,0.19498105
22,20,4,8,0.026315076
11,20,3,11,61.14159995
12,20,3,11,50.10261505
13,20,3,11,38.686073
14,20,3,11,27.979553
15,20,3,11,18.683323
16,20,3,11,11.429873
17,20,3,11,6.459920405
18,20,3,11,3.396491296
19,20,3,11,1.660794302
20,20,3,11,0.74477553
21,20,3,11,0.28208947
22,20,3,11,0.08111453
23,20,3,11,0.012467735
11,22,0,0,66.82192999
12,22,0,0,56.80810495
13,22,0,0,46.01511398
14,22,0,0,35.09214999
15,22,0,0,24.68370798
16,22,0,0,15.963906
17,22,0,0,9.599297003
18,22,0,0,5.3819923
19,22,0,0,2.787747898
20,22,0,0,1.315290999
21,22,0,0,0.54218745
22,22,0,0,0.18395409
23,22,0,0,0.048882473
24,22,0,0,0.00752388
11,22,5,4,58.21149994
12,22,5,4,46.73182697
13,22,5,4,35.04169497
14,22,5,4,24.49577701
15,22,5,4,15.98824199
16,22,5,4,9.473865505
17,22,5,4,5.070595704
18,22,5,4,2.623423002
19,22,5,4,1.308789701
20,22,5,4,0.60679305
21,22,5,4,0.23361559
22,22,5,4,0.055017795
23,22,5,4,0.007744624
11,22,6,4,58.02717596
12,22,6,4,46.49354605
13,22,6,4,34.80595802
14,22,6,4,24.11035201
15,22,6,4,15.328514
16,22,6,4,8.951958989
17,22,6,4,4.7812915
18,22,6,4,2.344525303
19,22,6,4,1.069549399
20,22,6,4,0.44196552
21,22,6,4,0.14425136
22,22,6,4,0.026745947
23,22,6,4,0.000793215
11,22,4,7,61.24230008
12,22,4,7,49.78919194
13,22,4,7,38.27303001
14,22,4,7,27.51975803
15,22,4,7,18.25606998
16,22,4,7,11.108275
17,22,4,7,6.175642995
18,22,4,7,3.144817598
19,22,4,7,1.464154201
20,22,4,7,0.61390084
21,22,4,7,0.21973805
22,22,4,7,0.05516007
23,22,4,7,0.007125245
24,22,4,7,0.001122065
11,22,2,13,64.76532003
12,22,2,13,54.37917994
13,22,2,13,42.97661997
14,22,2,13,31.82979599
15,22,2,13,21.88450798
16,22,2,13,13.83425502
17,22,2,13,8.088527007
18,22,2,13,4.367918998
19,22,2,13,2.161688002
20,22,2,13,0.99171495
21,22,2,13,0.41242915
22,22,2,13,0.15408275
23,22,2,13,0.049484994
24,22,2,13,0.009467852
11,22,3,13,63.45232805
12,22,3,13,52.70336998
13,22,3,13,40.99284401
14,22,3,13,29.75174698
15,22,3,13,20.103085
16,22,3,13,12.560419
17,22,3,13,7.207231499
18,22,3,13,3.768632699
19,22,3,13,1.825070902
20,22,3,13,0.826895701
21,22,3,13,0.3293544
22,22,3,13,0.096590035
23,22,3,13,0.013932607
11,24,0,0,68.34959395
12,24,0,0,58.29574597
13,24,0,0,47.190407
14,24,0,0,35.72144002
15,24,0,0,25.23722003
16,24,0,0,16.55840101
17,24,0,0,10.037119
18,24,0,0,5.562855192
19,24,0,0,2.830218602
20,24,0,0,1.310022699
21,24,0,0,0.53895634
22,24,0,0,0.17937496
23,24,0,0,0.03429788
24,24,0,0,0.001505285
11,24,5,9,60.620293
12,24,5,9,49.78816006
13,24,5,9,38.13865
14,24,5,9,27.23773197
15,24,5,9,17.98911301
16,24,5,9,10.83053499
17,24,5,9,5.924674496
18,24,5,9,2.967073201
19,24,5,9,1.397785999
20,24,5,9,0.6069819
21,24,5,9,0.22624418
22,24,5,9,0.06891967
23,24,5,9,0.010890044
