FA_C,FA_DB,FA_iso,CE,norm_Intensity
12,0,0,10,0.153962178
12,0,0,11,0.217318626
12,0,0,12,0.269218037
12,0,0,13,0.344512837
12,0,0,14,0.46672079
12,0,0,15,0.604731161
12,0,0,16,0.727911808
12,0,0,17,0.897293299
12,0,0,18,1.191499676
12,0,0,19,1.491879636
12,0,0,20,1.727429223
12,0,0,21,2.084729662
12,0,0,22,2.509294888
12,0,0,23,3.036327452
12,0,0,24,3.17786462
12,0,0,25,3.507639575
12,0,0,26,3.769255026
12,0,0,27,4.000878172
12,0,0,28,4.068095408
12,0,0,29,4.012825003
12,0,0,30,4.059510094
12,0,0,31,4.083742441
12,0,0,32,4.116669354
12,0,0,33,3.964606065
12,0,0,34,3.791119334
12,0,0,35,3.572043708
12,0,0,36,3.410852879
12,0,0,37,3.139407812
12,0,0,38,2.882804529
12,0,0,39,2.572454548
12,0,0,40,2.425138171
12,0,0,41,2.132228996
12,0,0,42,1.868870494
12,0,0,43,1.619451718
12,0,0,44,1.357400723
12,0,0,45,1.101357479
12,0,0,46,0.934044373
12,0,0,47,0.767694873
12,0,0,48,0.599068542
12,0,0,49,0.524909649
12,0,0,50,0.374256142
12,0,0,51,0.276171611
12,0,0,52,0.201578272
12,0,0,53,0.142867088
12,0,0,54,0.112386632
12,0,0,55,0.051436852
12,0,0,56,0.010982201
14,0,0,10,0.233661128
14,0,0,11,0.291704959
14,0,0,12,0.372838431
14,0,0,13,0.518459652
14,0,0,14,0.601797667
14,0,0,15,0.758606889
14,0,0,16,0.983394483
14,0,0,17,1.256557686
14,0,0,18,1.507894443
14,0,0,19,1.800863055
14,0,0,20,2.134880586
14,0,0,21,2.644127274
14,0,0,22,3.069779881
14,0,0,23,3.528773144
14,0,0,24,3.926479076
14,0,0,25,4.335822753
14,0,0,26,4.845498657
14,0,0,27,4.772521905
14,0,0,28,4.685392257
14,0,0,29,4.970979464
14,0,0,30,4.833359832
14,0,0,31,4.840538678
14,0,0,32,4.835792713
14,0,0,33,4.679834869
14,0,0,34,4.519280935
14,0,0,35,4.207052193
14,0,0,36,4.012512055
14,0,0,37,3.650669288
14,0,0,38,3.331332233
14,0,0,39,3.28390765
14,0,0,40,2.721110474
14,0,0,41,2.45036805
14,0,0,42,2.176327588
14,0,0,43,1.923775279
14,0,0,44,1.611741464
14,0,0,45,1.353892755
14,0,0,46,1.154092713
14,0,0,47,0.873068136
14,0,0,48,0.751846456
14,0,0,49,0.598766578
14,0,0,50,0.417566577
14,0,0,51,0.35680964
14,0,0,52,0.258927421
14,0,0,53,0.135434868
14,0,0,54,0.104271892
14,0,0,55,0.038262888
14,0,0,56,0.003195062
16,0,0,10,0.131926227
16,0,0,11,0.177022784
16,0,0,12,0.236179778
16,0,0,13,0.301693231
16,0,0,14,0.395872347
16,0,0,15,0.565143873
16,0,0,16,0.644277687
16,0,0,17,0.821544152
16,0,0,18,1.075278424
16,0,0,19,1.367485781
16,0,0,20,1.645557625
16,0,0,21,1.930527882
16,0,0,22,2.353422899
16,0,0,23,2.686535158
16,0,0,24,2.971837396
16,0,0,25,3.330151427
16,0,0,26,3.664182464
16,0,0,27,3.775644574
16,0,0,28,3.972603389
16,0,0,29,4.119552695
16,0,0,30,3.957810305
16,0,0,31,3.961798839
16,0,0,32,3.789574992
16,0,0,33,3.808810361
16,0,0,34,3.608960831
16,0,0,35,3.348747868
16,0,0,36,3.062786762
16,0,0,37,2.976581495
16,0,0,38,2.849910003
16,0,0,39,2.443587494
16,0,0,40,2.297897106
16,0,0,41,2.118434614
16,0,0,42,1.759712128
16,0,0,43,1.486062206
16,0,0,44,1.319697639
16,0,0,45,1.209157866
16,0,0,46,0.915931992
16,0,0,47,0.751977757
16,0,0,48,0.588995026
16,0,0,49,0.483462789
16,0,0,50,0.357641809
16,0,0,51,0.253918605
16,0,0,52,0.227334083
16,0,0,53,0.131090191
16,0,0,54,0.061279158
16,0,0,55,0.024006701
16,0,0,56,0.004130643
17,0,0,10,0.104222043
17,0,0,11,0.126309471
17,0,0,12,0.192235118
17,0,0,13,0.31219393
17,0,0,14,0.384962524
17,0,0,15,0.437968175
17,0,0,16,0.615292317
17,0,0,17,0.871516899
17,0,0,18,1.098077871
17,0,0,19,1.418273709
17,0,0,20,1.714519341
17,0,0,21,2.317628538
17,0,0,22,2.742675949
17,0,0,23,3.216543657
17,0,0,24,3.634088312
17,0,0,25,4.039303183
17,0,0,26,4.47084794
17,0,0,27,4.56255287
17,0,0,28,4.968544619
17,0,0,29,4.883713846
17,0,0,30,4.893254283
17,0,0,31,4.726058971
17,0,0,32,4.690127747
17,0,0,33,4.585069748
17,0,0,34,4.3645704
17,0,0,35,4.073294893
17,0,0,36,3.891461428
17,0,0,37,3.555333457
17,0,0,38,3.390835273
17,0,0,39,3.127966007
17,0,0,40,2.751251296
17,0,0,41,2.501658223
17,0,0,42,2.119679628
17,0,0,43,1.923026766
17,0,0,44,1.494979039
17,0,0,45,1.37143805
17,0,0,46,1.134170115
17,0,0,47,0.885813613
17,0,0,48,0.68275138
17,0,0,49,0.57102978
17,0,0,50,0.411916104
17,0,0,51,0.337847106
17,0,0,52,0.246659929
17,0,0,53,0.149279501
17,0,0,54,0.067481321
17,0,0,55,0.036838033
17,0,0,56,0.007743468
18,0,0,10,0.037538295
18,0,0,11,0.041982508
18,0,0,12,0.100742422
18,0,0,13,0.116798697
18,0,0,14,0.222803791
18,0,0,15,0.320446476
18,0,0,16,0.470192742
18,0,0,17,0.558947108
18,0,0,18,0.838708416
18,0,0,19,1.039371728
18,0,0,20,1.42358257
18,0,0,21,1.752250262
18,0,0,22,2.25061575
18,0,0,23,2.589537668
18,0,0,24,3.147885993
18,0,0,25,3.266103872
18,0,0,26,3.614616132
18,0,0,27,3.935904006
18,0,0,28,4.131572602
18,0,0,29,4.149827342
18,0,0,30,4.134630247
18,0,0,31,3.99432108
18,0,0,32,3.941787118
18,0,0,33,3.760324384
18,0,0,34,3.716682723
18,0,0,35,3.628958326
18,0,0,36,3.399032175
18,0,0,37,3.264252965
18,0,0,38,2.905577532
18,0,0,39,2.677986653
18,0,0,40,2.450255222
18,0,0,41,2.135798937
18,0,0,42,1.862597105
18,0,0,43,1.779255927
18,0,0,44,1.439200429
18,0,0,45,1.146924862
18,0,0,46,0.977197055
18,0,0,47,0.828717618
18,0,0,48,0.630508917
18,0,0,49,0.51602779
18,0,0,50,0.364104616
18,0,0,51,0.285898381
18,0,0,52,0.215895129
18,0,0,53,0.125813213
18,0,0,54,0.052619375
18,0,0,55,0.076380633
18,0,0,56,0.009298476
18,1,9,10,0.082241227
18,1,9,11,0.109589012
18,1,9,12,0.192250945
18,1,9,13,0.237743696
18,1,9,14,0.369309444
18,1,9,15,0.485370373
18,1,9,16,0.684958978
18,1,9,17,1.032160912
18,1,9,18,1.383368247
18,1,9,19,1.787331808
18,1,9,20,2.412374052
18,1,9,21,2.965927873
18,1,9,22,3.595797279
18,1,9,23,4.223225938
18,1,9,24,4.820815852
18,1,9,25,5.032921706
18,1,9,26,5.672551073
18,1,9,27,5.763717514
18,1,9,28,5.808049818
18,1,9,29,5.841072842
18,1,9,30,5.501795129
18,1,9,31,5.332545436
18,1,9,32,5.234591425
18,1,9,33,4.691418047
18,1,9,34,4.222856604
18,1,9,35,3.834356837
18,1,9,36,3.289354148
18,1,9,37,2.941669139
18,1,9,38,2.464405633
18,1,9,39,2.140479092
18,1,9,40,1.687497145
18,1,9,41,1.353796315
18,1,9,42,1.06462766
18,1,9,43,0.811763261
18,1,9,44,0.649310897
18,1,9,45,0.466282374
18,1,9,46,0.365401426
18,1,9,47,0.204377937
18,1,9,48,0.14223516
18,1,9,49,0.076741868
18,1,9,50,0.021437143
18,1,9,51,0.011035726
18,2,9,10,0.035260323
18,2,9,11,0.061064066
18,2,9,12,0.093515474
18,2,9,13,0.207459177
18,2,9,14,0.255817756
18,2,9,15,0.364059554
18,2,9,16,0.520410452
18,2,9,17,0.68117788
18,2,9,18,0.872576082
18,2,9,19,1.141484284
18,2,9,20,1.514097628
18,2,9,21,1.896315433
18,2,9,22,2.285558406
18,2,9,23,2.602911895
18,2,9,24,2.902281749
18,2,9,25,3.194644386
18,2,9,26,3.429354767
18,2,9,27,3.699408308
18,2,9,28,3.728507
18,2,9,29,3.678501736
18,2,9,30,3.732915727
18,2,9,31,3.690579987
18,2,9,32,3.563734698
18,2,9,33,3.397079262
18,2,9,34,3.238501432
18,2,9,35,3.275949652
18,2,9,36,2.832833705
18,2,9,37,2.772879495
18,2,9,38,2.522798784
18,2,9,39,2.234146332
18,2,9,40,2.035421399
18,2,9,41,1.818896477
18,2,9,42,1.57669956
18,2,9,43,1.388539424
18,2,9,44,1.145543811
18,2,9,45,0.959238436
18,2,9,46,0.776575029
18,2,9,47,0.594514973
18,2,9,48,0.48993486
18,2,9,49,0.388658863
18,2,9,50,0.294437622
18,2,9,51,0.182510306
18,2,9,52,0.169907857
18,2,9,53,0.087176903
18,2,9,54,0.030944714
18,2,9,55,0.008574408
18,3,6,10,0.176213997
18,3,6,11,0.229125655
18,3,6,12,0.30933395
18,3,6,13,0.40510349
18,3,6,14,0.556347845
18,3,6,15,0.659360806
18,3,6,16,0.908617036
18,3,6,17,1.203473182
18,3,6,18,1.450210868
18,3,6,19,1.926081824
18,3,6,20,2.388345167
18,3,6,21,2.881415936
18,3,6,22,3.332309176
18,3,6,23,3.900566682
18,3,6,24,4.285226154
18,3,6,25,4.675945877
18,3,6,26,4.848211173
18,3,6,27,5.090290481
18,3,6,28,5.182288278
18,3,6,29,5.273804588
18,3,6,30,4.994042497
18,3,6,31,4.906913144
18,3,6,32,5.039456973
18,3,6,33,4.41790552
18,3,6,34,4.379914179
18,3,6,35,4.125709848
18,3,6,36,3.962483015
18,3,6,37,3.62484981
18,3,6,38,3.223010404
18,3,6,39,3.024410952
18,3,6,40,2.602163264
18,3,6,41,2.230118749
18,3,6,42,1.931958096
18,3,6,43,1.708950884
18,3,6,44,1.419080252
18,3,6,45,1.141542952
18,3,6,46,0.922428037
18,3,6,47,0.715379446
18,3,6,48,0.587117585
18,3,6,49,0.44124594
18,3,6,50,0.326000691
18,3,6,51,0.262380917
18,3,6,52,0.167534711
18,3,6,53,0.10546445
18,3,6,54,0.043549074
18,3,6,55,0.007307164
18,3,6,56,0.004036591
18,4,8,10,0.135653556
18,4,8,11,0.195651569
18,4,8,12,0.292761825
18,4,8,13,0.355584834
18,4,8,14,0.467986002
18,4,8,15,0.687545223
18,4,8,16,0.929578536
18,4,8,17,1.233569457
18,4,8,18,1.640630635
18,4,8,19,2.19375997
18,4,8,20,2.815091893
18,4,8,21,3.475792007
18,4,8,22,4.194018389
18,4,8,23,4.743735631
18,4,8,24,5.387213778
18,4,8,25,5.74297565
18,4,8,26,5.976398035
18,4,8,27,6.200303402
18,4,8,28,6.295830415
18,4,8,29,6.250532947
18,4,8,30,6.267798712
18,4,8,31,5.913771533
18,4,8,32,5.816760721
18,4,8,33,5.713117494
18,4,8,34,5.223559094
18,4,8,35,4.935123422
18,4,8,36,4.698686181
18,4,8,37,4.2789862
18,4,8,38,3.898414272
18,4,8,39,3.555480424
18,4,8,40,3.093998101
18,4,8,41,2.604642227
18,4,8,42,2.350456646
18,4,8,43,1.884700226
18,4,8,44,1.647886327
18,4,8,45,1.353680956
18,4,8,46,1.065093711
18,4,8,47,0.841586108
18,4,8,48,0.679927793
18,4,8,49,0.547787591
18,4,8,50,0.360209117
18,4,8,51,0.300422902
18,4,8,52,0.210947145
18,4,8,53,0.145552282
18,4,8,54,0.084876923
18,4,8,55,0.050746695
18,4,8,56,0.025871581
20,3,5,10,0.510625659
20,3,5,11,0.664884638
20,3,5,12,0.964103614
20,3,5,13,1.08946869
20,3,5,14,1.39371845
20,3,5,15,1.70611827
20,3,5,16,2.14509067
20,3,5,17,2.62124853
20,3,5,18,3.123429257
20,3,5,19,3.489030265
20,3,5,20,4.29084388
20,3,5,21,4.933383971
20,3,5,22,5.532649073
20,3,5,23,6.165051846
20,3,5,24,6.600467758
20,3,5,25,7.066057286
20,3,5,26,7.273296212
20,3,5,27,7.479624229
20,3,5,28,7.587383415
20,3,5,29,7.669100638
20,3,5,30,7.339396881
20,3,5,31,7.153526402
20,3,5,32,7.169675457
20,3,5,33,6.940709266
20,3,5,34,6.791956079
20,3,5,35,6.384719668
20,3,5,36,5.961137274
20,3,5,37,5.250035361
20,3,5,38,4.842356193
20,3,5,39,4.373753383
20,3,5,40,3.881664193
20,3,5,41,3.461992343
20,3,5,42,2.820128192
20,3,5,43,2.464183817
20,3,5,44,2.115626877
20,3,5,45,1.705553154
20,3,5,46,1.37748187
20,3,5,47,1.18202249
20,3,5,48,0.895424056
20,3,5,49,0.743697564
20,3,5,50,0.52316675
20,3,5,51,0.364343339
20,3,5,52,0.341003698
20,3,5,53,0.212695818
20,3,5,54,0.14598523
20,3,5,55,0.085645733
20,3,5,56,0.0288224
20,3,5,57,0.006195746
20,3,11,10,0.058442735
20,3,11,11,0.085730409
20,3,11,12,0.134517813
20,3,11,13,0.215622207
20,3,11,14,0.311687626
20,3,11,15,0.390628971
20,3,11,16,0.566692274
20,3,11,17,0.775952056
20,3,11,18,1.0809393
20,3,11,19,1.417971607
20,3,11,20,1.889161194
20,3,11,21,2.330285846
20,3,11,22,2.866236795
20,3,11,23,3.350127092
20,3,11,24,3.812160778
20,3,11,25,4.235576433
20,3,11,26,4.55488601
20,3,11,27,4.776277233
20,3,11,28,4.863137496
20,3,11,29,4.900233813
20,3,11,30,4.968013243
20,3,11,31,4.837342748
20,3,11,32,4.707360859
20,3,11,33,4.402945058
20,3,11,34,4.243156634
20,3,11,35,4.036742223
20,3,11,36,3.663567443
20,3,11,37,3.458058517
20,3,11,38,3.16485005
20,3,11,39,2.856898017
20,3,11,40,2.569991271
20,3,11,41,2.220044902
20,3,11,42,2.015494909
20,3,11,43,1.628635775
20,3,11,44,1.414679956
20,3,11,45,1.119036579
20,3,11,46,0.929758916
20,3,11,47,0.787263897
20,3,11,48,0.568740257
20,3,11,49,0.449790896
20,3,11,50,0.305462596
20,3,11,51,0.247194855
20,3,11,52,0.177048085
20,3,11,53,0.112406172
20,3,11,54,0.047140948
20,3,11,55,0.02076485
20,3,11,56,0.00651148
20,3,11,57,0.001737816
20,4,5,10,0.128846853
20,4,5,11,0.2309057
20,4,5,12,0.296030803
20,4,5,13,0.388867346
20,4,5,14,0.549568833
20,4,5,15,0.706223107
20,4,5,16,1.051974905
20,4,5,17,1.389480535
20,4,5,18,1.826192975
20,4,5,19,2.466500547
20,4,5,20,3.091308483
20,4,5,21,3.721230283
20,4,5,22,4.447930504
20,4,5,23,5.200018722
20,4,5,24,5.675559165
20,4,5,25,6.106589115
20,4,5,26,6.407771936
20,4,5,27,6.508538359
20,4,5,28,6.624696523
20,4,5,29,6.451778169
20,4,5,30,6.398439256
20,4,5,31,6.095109956
20,4,5,32,5.698531844
20,4,5,33,5.512577254
20,4,5,34,4.997387615
20,4,5,35,4.694079222
20,4,5,36,4.229285064
20,4,5,37,3.781142757
20,4,5,38,3.354991737
20,4,5,39,2.952060781
20,4,5,40,2.56268433
20,4,5,41,2.182581555
20,4,5,42,1.861997164
20,4,5,43,1.46585706
20,4,5,44,1.232503734
20,4,5,45,1.006489444
20,4,5,46,0.795798628
20,4,5,47,0.608510632
20,4,5,48,0.468176057
20,4,5,49,0.322257234
20,4,5,50,0.244397806
20,4,5,51,0.17945647
20,4,5,52,0.117970932
20,4,5,53,0.093480109
20,4,5,54,0.045422185
20,4,5,55,0.026533465
20,4,5,56,0.004764038
20,4,5,57,0.001801514
20,4,5,58,0.00107787
20,4,8,10,0.522341195
20,4,8,11,0.728054452
20,4,8,12,0.870381078
20,4,8,13,1.223408292
20,4,8,14,1.476948115
20,4,8,15,1.734787
20,4,8,16,2.06739381
20,4,8,17,2.50808746
20,4,8,18,3.050024922
20,4,8,19,3.507191344
20,4,8,20,4.050888367
20,4,8,21,4.630456838
20,4,8,22,4.899743155
20,4,8,23,5.417358617
20,4,8,24,6.209819835
20,4,8,25,6.634780363
20,4,8,26,6.814223397
20,4,8,27,6.575311437
20,4,8,28,6.969039554
20,4,8,29,6.98952609
20,4,8,30,6.68373601
20,4,8,31,6.672986454
20,4,8,32,6.584811483
20,4,8,33,6.034800181
20,4,8,34,5.858377497
20,4,8,35,5.716522213
20,4,8,36,5.111920581
20,4,8,37,4.783729677
20,4,8,38,4.168008765
20,4,8,39,3.949955088
20,4,8,40,3.455230489
20,4,8,41,3.088005169
20,4,8,42,2.528422231
20,4,8,43,2.171136193
20,4,8,44,1.903447149
20,4,8,45,1.515389762
20,4,8,46,1.101836935
20,4,8,47,0.978185474
20,4,8,48,0.83594155
20,4,8,49,0.604101696
20,4,8,50,0.438590195
20,4,8,51,0.316503114
20,4,8,52,0.270213531
20,4,8,53,0.143324486
20,4,8,54,0.11582159
20,4,8,55,0.040300769
20,4,8,56,0.007844462
20,4,8,57,0.011634777
20,5,5,10,0.365262012
20,5,5,11,0.477931848
20,5,5,12,0.667946807
20,5,5,13,0.80321696
20,5,5,14,0.951477703
20,5,5,15,1.195248931
20,5,5,16,1.41587808
20,5,5,17,1.691860896
20,5,5,18,2.163857127
20,5,5,19,2.434852419
20,5,5,20,2.910333809
20,5,5,21,3.775759595
20,5,5,22,3.977956583
20,5,5,23,4.757331897
20,5,5,24,4.84802226
20,5,5,25,5.39993244
20,5,5,26,5.242608704
20,5,5,27,5.450929949
20,5,5,28,5.485714253
20,5,5,29,5.319208572
20,5,5,30,5.186017456
20,5,5,31,5.11337443
20,5,5,32,5.10515927
20,5,5,33,4.773306655
20,5,5,34,4.465007229
20,5,5,35,4.04628898
20,5,5,36,3.909063688
20,5,5,37,3.671978145
20,5,5,38,3.326570524
20,5,5,39,3.028386333
20,5,5,40,2.47158157
20,5,5,41,2.052087607
20,5,5,42,2.009896044
20,5,5,43,1.59237654
20,5,5,44,1.298869683
20,5,5,45,1.123442768
20,5,5,46,0.863347938
20,5,5,47,0.707316151
20,5,5,48,0.622638061
20,5,5,49,0.423259207
20,5,5,50,0.246273727
20,5,5,51,0.17402177
20,5,5,52,0.092701499
20,5,5,53,0.069067908
20,5,5,54,0.019443402
22,0,0,10,0.107085445
22,0,0,11,0.181644656
22,0,0,12,0.254999676
22,0,0,13,0.307070502
22,0,0,14,0.375188034
22,0,0,15,0.532949415
22,0,0,16,0.620680222
22,0,0,17,0.817889617
22,0,0,18,0.92321578
22,0,0,19,1.229896904
22,0,0,20,1.436260996
22,0,0,21,1.756206416
22,0,0,22,2.146614032
22,0,0,23,2.569027619
22,0,0,24,2.848479212
22,0,0,25,3.236587057
22,0,0,26,3.510490397
22,0,0,27,3.633137445
22,0,0,28,3.759027206
22,0,0,29,3.851300914
22,0,0,30,3.952052861
22,0,0,31,3.927640864
22,0,0,32,3.706804881
22,0,0,33,3.709639586
22,0,0,34,3.555759479
22,0,0,35,3.310718867
22,0,0,36,3.068655511
22,0,0,37,2.96804038
22,0,0,38,2.758034474
22,0,0,39,2.392739778
22,0,0,40,2.265777389
22,0,0,41,1.974067285
22,0,0,42,1.619128746
22,0,0,43,1.40784891
22,0,0,44,1.226164355
22,0,0,45,1.057423036
22,0,0,46,0.899162069
22,0,0,47,0.688798554
22,0,0,48,0.599580394
22,0,0,49,0.477191546
22,0,0,50,0.345629915
22,0,0,51,0.263279536
22,0,0,52,0.199218955
22,0,0,53,0.120167016
22,0,0,54,0.067304037
22,0,0,55,0.049830777
22,0,0,56,0.013928582
22,0,0,57,0.002604768
22,2,13,10,0.076876027
22,2,13,11,0.106739563
22,2,13,12,0.126315417
22,2,13,13,0.170330245
22,2,13,14,0.224440033
22,2,13,15,0.308499991
22,2,13,16,0.412090894
22,2,13,17,0.597472413
22,2,13,18,0.822560059
22,2,13,19,1.114886042
22,2,13,20,1.460709378
22,2,13,21,1.856743998
22,2,13,22,2.282715912
22,2,13,23,2.834523821
22,2,13,24,3.191123452
22,2,13,25,3.504664588
22,2,13,26,3.840000416
22,2,13,27,3.995707365
22,2,13,28,4.141566033
22,2,13,29,4.238389409
22,2,13,30,4.1711565
22,2,13,31,4.110245502
22,2,13,32,4.003610224
22,2,13,33,3.928630634
22,2,13,34,3.662247219
22,2,13,35,3.494240626
22,2,13,36,3.276727404
22,2,13,37,3.065273801
22,2,13,38,2.766360286
22,2,13,39,2.581305228
22,2,13,40,2.329880435
22,2,13,41,2.005365744
22,2,13,42,1.682186385
22,2,13,43,1.524899951
22,2,13,44,1.283056284
22,2,13,45,1.073844965
22,2,13,46,0.873405806
22,2,13,47,0.681335423
22,2,13,48,0.550535335
22,2,13,49,0.461190759
22,2,13,50,0.351048771
22,2,13,51,0.25731211
22,2,13,52,0.176293728
22,2,13,53,0.153382988
22,2,13,54,0.103668546
22,2,13,55,0.075962867
22,2,13,56,0.04383247
22,2,13,57,0.029379005
22,2,13,58,0.017331461
22,2,13,59,0.007994511
22,2,13,60,0.004506416
22,2,13,61,0.001196359
22,3,13,10,0.041657569
22,3,13,11,0.083575229
22,3,13,12,0.101094527
22,3,13,13,0.161970206
22,3,13,14,0.221587084
22,3,13,15,0.311108079
22,3,13,16,0.479139155
22,3,13,17,0.672971472
22,3,13,18,0.932110889
22,3,13,19,1.136183663
22,3,13,20,1.581595798
22,3,13,21,1.912721559
22,3,13,22,2.376601123
22,3,13,23,2.822900587
22,3,13,24,3.395952872
22,3,13,25,3.530116384
22,3,13,26,3.901905216
22,3,13,27,4.198489706
22,3,13,28,4.180384912
22,3,13,29,4.372070807
22,3,13,30,4.20758601
22,3,13,31,4.178249984
22,3,13,32,4.019739631
22,3,13,33,3.926346505
22,3,13,34,3.689314229
22,3,13,35,3.569940045
22,3,13,36,3.255973246
22,3,13,37,3.002270292
22,3,13,38,2.807239551
22,3,13,39,2.548066405
22,3,13,40,2.230791754
22,3,13,41,1.929311226
22,3,13,42,1.685095326
22,3,13,43,1.467496381
22,3,13,44,1.25476476
22,3,13,45,0.990705539
22,3,13,46,0.847635712
22,3,13,47,0.63414358
22,3,13,48,0.526091788
22,3,13,49,0.439627642
22,3,13,50,0.332637885
22,3,13,51,0.220846858
22,3,13,52,0.173610047
22,3,13,53,0.082299222
22,3,13,54,0.031005384
22,3,13,55,0.005936187
22,3,13,56,0.003735289
22,4,7,10,0.07055017
22,4,7,11,0.145434701
22,4,7,12,0.1736701
22,4,7,13,0.250585519
22,4,7,14,0.371607753
22,4,7,15,0.47599691
22,4,7,16,0.645529308
22,4,7,17,0.883525296
22,4,7,18,1.12880545
22,4,7,19,1.502749892
22,4,7,20,1.957124107
22,4,7,21,2.419921802
22,4,7,22,2.862362883
22,4,7,23,3.330300891
22,4,7,24,3.803916416
22,4,7,25,4.235868789
22,4,7,26,4.243021354
22,4,7,27,4.489734444
22,4,7,28,4.618958114
22,4,7,29,4.539359811
22,4,7,30,4.584082716
22,4,7,31,4.54357317
22,4,7,32,4.384682718
22,4,7,33,4.138409391
22,4,7,34,3.994437681
