Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PA170170,10,17,0,0,1,17,0,0,1,1.353847315,
PA170170,11,17,0,0,1,17,0,0,1,1.677005634,
PA170170,12,17,0,0,1,17,0,0,1,2.007917551,
PA170170,13,17,0,0,1,17,0,0,1,2.516495598,
PA170170,14,17,0,0,1,17,0,0,1,3.247571181,
PA170170,15,17,0,0,1,17,0,0,1,4.229337315,
PA170170,16,17,0,0,1,17,0,0,1,5.539852802,
PA170170,17,17,0,0,1,17,0,0,1,7.488769529,
PA170170,18,17,0,0,1,17,0,0,1,9.973038593,
PA170170,19,17,0,0,1,17,0,0,1,12.95297054,
PA170170,20,17,0,0,1,17,0,0,1,16.6244391,
PA170170,21,17,0,0,1,17,0,0,1,20.48615295,
PA170170,22,17,0,0,1,17,0,0,1,25.21278439,
PA170170,23,17,0,0,1,17,0,0,1,29.76975479,
PA170170,24,17,0,0,1,17,0,0,1,33.95912074,
PA170170,25,17,0,0,1,17,0,0,1,37.83975076,
PA170170,26,17,0,0,1,17,0,0,1,40.88614538,
PA170170,27,17,0,0,1,17,0,0,1,43.89928249,
PA170170,28,17,0,0,1,17,0,0,1,45.79470413,
PA170170,29,17,0,0,1,17,0,0,1,47.51921117,
PA170170,30,17,0,0,1,17,0,0,1,48.55570215,
PA170170,31,17,0,0,1,17,0,0,1,49.02849605,
PA170170,32,17,0,0,1,17,0,0,1,49.57815626,
PA170170,33,17,0,0,1,17,0,0,1,49.81806084,
PA170170,34,17,0,0,1,17,0,0,1,49.27767856,
PA170170,35,17,0,0,1,17,0,0,1,48.80831377,
PA170170,36,17,0,0,1,17,0,0,1,48.9597628,
PA170170,37,17,0,0,1,17,0,0,1,48.35458084,
PA170170,38,17,0,0,1,17,0,0,1,46.88968512,
PA170170,39,17,0,0,1,17,0,0,1,45.43814044,
PA170170,40,17,0,0,1,17,0,0,1,44.09694208,
PA170170,41,17,0,0,1,17,0,0,1,42.96395907,
PA170170,42,17,0,0,1,17,0,0,1,41.91079317,
