Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PC160204,14,16,0,0,0,20,4,5,1,0.008307793,0.004018252
PC160204,15,16,0,0,0,20,4,5,1,0.03943623,0.019074226
PC160204,16,16,0,0,0,20,4,5,1,0.09118503,0.044103706
PC160204,17,16,0,0,0,20,4,5,1,0.15262048,0.073818354
PC160204,18,16,0,0,0,20,4,5,1,0.23461832,0.113478467
PC160204,19,16,0,0,0,20,4,5,1,0.34649336,0.167589366
PC160204,20,16,0,0,0,20,4,5,1,0.50888056,0.246131615
PC160204,21,16,0,0,0,20,4,5,1,0.70224035,0.339654459
PC160204,22,16,0,0,0,20,4,5,1,0.8896295,0.430289468
PC160204,23,16,0,0,0,20,4,5,1,1.0873294,0.525911505
PC160204,24,16,0,0,0,20,4,5,1,1.2831014,0.62060107
PC160204,25,16,0,0,0,20,4,5,1,1.5089171,0.72982195
PC160204,26,16,0,0,0,20,4,5,1,1.7655599,0.853953057
PC160204,27,16,0,0,0,20,4,5,1,1.9334066,0.935135917
PC160204,28,16,0,0,0,20,4,5,1,2.000846,0.967754511
PC160204,29,16,0,0,0,20,4,5,1,2.0555158,0.994196799
PC160204,30,16,0,0,0,20,4,5,1,2.067514,1
PC160204,31,16,0,0,0,20,4,5,1,2.03289,0.983253318
PC160204,32,16,0,0,0,20,4,5,1,2.0066574,0.970565326
PC160204,33,16,0,0,0,20,4,5,1,1.9521614,0.944207101
PC160204,34,16,0,0,0,20,4,5,1,1.8162055,0.878448949
PC160204,35,16,0,0,0,20,4,5,1,1.610534,0.778971267
PC160204,36,16,0,0,0,20,4,5,1,1.4638942,0.708045605
PC160204,37,16,0,0,0,20,4,5,1,1.3754293,0.665257551
PC160204,38,16,0,0,0,20,4,5,1,1.2357049,0.597676678
PC160204,39,16,0,0,0,20,4,5,1,1.0748693,0.519884896
PC160204,40,16,0,0,0,20,4,5,1,0.91422963,0.442187879
PC160204,41,16,0,0,0,20,4,5,1,0.779574,0.377058632
PC160204,42,16,0,0,0,20,4,5,1,0.66638446,0.322311946
PC160204,43,16,0,0,0,20,4,5,1,0.5353916,0.25895428
PC160204,44,16,0,0,0,20,4,5,1,0.44030753,0.212964715
PC160204,45,16,0,0,0,20,4,5,1,0.38534433,0.186380518
PC160204,46,16,0,0,0,20,4,5,1,0.32123312,0.155371678
PC160204,47,16,0,0,0,20,4,5,1,0.25482795,0.123253313
PC160204,48,16,0,0,0,20,4,5,1,0.19377027,0.093721382
PC160204,49,16,0,0,0,20,4,5,1,0.13303633,0.064346036
PC160204,50,16,0,0,0,20,4,5,1,0.092440225,0.04471081
PC160204,51,16,0,0,0,20,4,5,1,0.06819771,0.032985368
PC160204,52,16,0,0,0,20,4,5,1,0.039053958,0.018889332
PC160204,53,16,0,0,0,20,4,5,1,0.011308376,0.005469552
PC160226,11,16,0,0,0,22,6,4,1,0.13661593,0.022391612
PC160226,12,16,0,0,0,22,6,4,1,0.18654723,0.030575448
PC160226,13,16,0,0,0,22,6,4,1,0.26291367,0.043092054
PC160226,14,16,0,0,0,22,6,4,1,0.36386678,0.059638462
PC160226,15,16,0,0,0,22,6,4,1,0.51513153,0.084431044
PC160226,16,16,0,0,0,22,6,4,1,0.7891985,0.129351145
PC160226,17,16,0,0,0,22,6,4,1,1.1700761,0.191777713
PC160226,18,16,0,0,0,22,6,4,1,1.6192167,0.265392717
PC160226,19,16,0,0,0,22,6,4,1,2.207706,0.36184724
PC160226,20,16,0,0,0,22,6,4,1,2.94242,0.482268271
PC160226,21,16,0,0,0,22,6,4,1,3.7174275,0.609293484
PC160226,22,16,0,0,0,22,6,4,1,4.4370418,0.727239646
PC160226,23,16,0,0,0,22,6,4,1,5.124796,0.839963876
PC160226,24,16,0,0,0,22,6,4,1,5.7036667,0.934841892
PC160226,25,16,0,0,0,22,6,4,1,6.0209823,0.986850526
PC160226,26,16,0,0,0,22,6,4,1,6.10121,1
PC160226,27,16,0,0,0,22,6,4,1,5.9698825,0.978475171
PC160226,28,16,0,0,0,22,6,4,1,5.7076535,0.935495336
PC160226,29,16,0,0,0,22,6,4,1,5.328378,0.873331356
PC160226,30,16,0,0,0,22,6,4,1,4.839701,0.79323626
PC160226,31,16,0,0,0,22,6,4,1,4.3288474,0.709506377
PC160226,32,16,0,0,0,22,6,4,1,3.8182943,0.625825746
PC160226,33,16,0,0,0,22,6,4,1,3.340522,0.547517951
PC160226,34,16,0,0,0,22,6,4,1,2.8599346,0.468748756
PC160226,35,16,0,0,0,22,6,4,1,2.3957834,0.392673486
PC160226,36,16,0,0,0,22,6,4,1,2.0177956,0.330720562
PC160226,37,16,0,0,0,22,6,4,1,1.7025392,0.279049434
PC160226,38,16,0,0,0,22,6,4,1,1.3852553,0.227045996
PC160226,39,16,0,0,0,22,6,4,1,1.0891566,0.178514852
PC160226,40,16,0,0,0,22,6,4,1,0.88334286,0.144781586
PC160226,41,16,0,0,0,22,6,4,1,0.7235324,0.118588346
PC160226,42,16,0,0,0,22,6,4,1,0.56899726,0.09325974
PC160226,43,16,0,0,0,22,6,4,1,0.44302145,0.072612064
PC160226,44,16,0,0,0,22,6,4,1,0.34716195,0.056900508
PC160226,45,16,0,0,0,22,6,4,1,0.26715696,0.043787537
PC160226,46,16,0,0,0,22,6,4,1,0.19677427,0.03225168
PC160226,47,16,0,0,0,22,6,4,1,0.13493407,0.022115952
PC160226,48,16,0,0,0,22,6,4,1,0.08468157,0.013879471
PC160226,49,16,0,0,0,22,6,4,1,0.048876476,0.008010948
PC160226,50,16,0,0,0,22,6,4,1,0.02487902,0.004077719
PC160226,51,17,0,0,0,22,6,4,1,0.011524663,0.001888914
PC160226,52,17,0,0,0,22,6,4,1,0.004766037,0.000781163
PC160226,53,17,0,0,0,22,6,4,1,8.32E-04,0.00013633
PC170204,11,17,0,0,0,20,4,5,1,0.001052512,0.000468741
PC170204,12,17,0,0,0,20,4,5,1,0.003601483,0.001603938
PC170204,13,17,0,0,0,20,4,5,1,0.008576887,0.003819759
PC170204,14,17,0,0,0,20,4,5,1,0.019998128,0.008906265
PC170204,15,17,0,0,0,20,4,5,1,0.047006845,0.020934731
PC170204,16,17,0,0,0,20,4,5,1,0.09793065,0.0436139
PC170204,17,17,0,0,0,20,4,5,1,0.15842406,0.070554939
PC170204,18,17,0,0,0,20,4,5,1,0.23374942,0.104101461
PC170204,19,17,0,0,0,20,4,5,1,0.35459638,0.157921252
PC170204,20,17,0,0,0,20,4,5,1,0.51235896,0.228181598
PC170204,21,17,0,0,0,20,4,5,1,0.6989098,0.311262938
PC170204,22,17,0,0,0,20,4,5,1,0.90141726,0.401450637
PC170204,23,17,0,0,0,20,4,5,1,1.1090317,0.493912755
PC170204,24,17,0,0,0,20,4,5,1,1.3596064,0.605507437
PC170204,25,17,0,0,0,20,4,5,1,1.6051196,0.714847956
PC170204,26,17,0,0,0,20,4,5,1,1.785181,0.795039191
