Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PG170170,10,17,0,0,1,17,0,0,1,1.289153863,0.051977863
PG170170,11,17,0,0,1,17,0,0,1,1.512592441,0.028415029
PG170170,12,17,0,0,1,17,0,0,1,1.86148711,0.059456832
PG170170,13,17,0,0,1,17,0,0,1,2.413933072,0.044936956
PG170170,14,17,0,0,1,17,0,0,1,3.114203246,0.074957935
PG170170,15,17,0,0,1,17,0,0,1,4.130916265,0.101583054
PG170170,16,17,0,0,1,17,0,0,1,5.632662831,0.19159382
PG170170,17,17,0,0,1,17,0,0,1,7.593043859,0.326955468
PG170170,18,17,0,0,1,17,0,0,1,10.24383364,0.869945021
PG170170,19,17,0,0,1,17,0,0,1,13.5508055,1.164738317
PG170170,20,17,0,0,1,17,0,0,1,17.82763165,1.171706442
PG170170,21,17,0,0,1,17,0,0,1,22.59159227,2.039104366
PG170170,22,17,0,0,1,17,0,0,1,28.10778436,2.268631863
PG170170,23,17,0,0,1,17,0,0,1,34.15784347,3.436423511
PG170170,24,17,0,0,1,17,0,0,1,39.99571446,4.755486046
PG170170,25,17,0,0,1,17,0,0,1,44.5662269,5.475333467
PG170170,26,17,0,0,1,17,0,0,1,49.97070827,9.135471365
PG170170,27,17,0,0,1,17,0,0,1,53.61317429,9.983492703
PG170170,28,17,0,0,1,17,0,0,1,56.82966159,12.7863007
PG170170,29,17,0,0,1,17,0,0,1,59.24707951,10.6429481
PG170170,30,17,0,0,1,17,0,0,1,59.94138474,12.44471979
PG170170,31,17,0,0,1,17,0,0,1,60.7068857,11.14155569
PG170170,32,17,0,0,1,17,0,0,1,60.74650783,10.63621701
PG170170,33,17,0,0,1,17,0,0,1,59.94237341,9.241523679
PG170170,34,17,0,0,1,17,0,0,1,59.87722233,11.44962066
PG170170,35,17,0,0,1,17,0,0,1,57.97217287,8.421759189
PG170170,36,17,0,0,1,17,0,0,1,56.90681212,9.206436632
PG170170,37,17,0,0,1,17,0,0,1,55.38076646,8.877096563
PG170170,38,17,0,0,1,17,0,0,1,53.06687493,6.284002263
PG170170,39,17,0,0,1,17,0,0,1,51.53681795,6.679859846
PG170170,40,17,0,0,1,17,0,0,1,48.28371904,7.759618589
PG170170,41,17,0,0,1,17,0,0,1,45.52418438,4.613011658
PG170170,42,17,0,0,1,17,0,0,1,43.00467747,6.973535421
PG170170,43,17,0,0,1,17,0,0,1,40.13435944,5.204524277
PG170170,44,17,0,0,1,17,0,0,1,37.50892,3.973770954
