Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PS170204,20,17,0,0,0,20,4,5,1,0.002636092,5.09E-03
PS170204,21,17,0,0,0,20,4,5,1,0.008253323,1.59E-02
PS170204,22,17,0,0,0,20,4,5,1,0.02585547,4.99E-02
PS170204,23,17,0,0,0,20,4,5,1,0.066655904,1.29E-01
PS170204,24,17,0,0,0,20,4,5,1,0.11850576,2.29E-01
PS170204,25,17,0,0,0,20,4,5,1,0.16763449,3.24E-01
PS170204,26,17,0,0,0,20,4,5,1,0.21387285,4.13E-01
PS170204,27,17,0,0,0,20,4,5,1,0.2637869,5.09E-01
PS170204,28,17,0,0,0,20,4,5,1,0.3298013,6.37E-01
PS170204,29,17,0,0,0,20,4,5,1,0.4100655,7.91E-01
PS170204,30,17,0,0,0,20,4,5,1,0.45032027,8.69E-01
PS170204,31,17,0,0,0,20,4,5,1,0.45088652,8.70E-01
PS170204,32,17,0,0,0,20,4,5,1,0.4739867,9.15E-01
PS170204,33,17,0,0,0,20,4,5,1,0.50124323,9.67E-01
PS170204,34,17,0,0,0,20,4,5,1,0.51809186,1.00E+00
PS170204,35,17,0,0,0,20,4,5,1,0.5161671,9.96E-01
PS170204,36,17,0,0,0,20,4,5,1,0.48068863,9.28E-01
PS170204,37,17,0,0,0,20,4,5,1,0.45073897,8.70E-01
PS170204,38,17,0,0,0,20,4,5,1,0.4303984,8.31E-01
PS170204,39,17,0,0,0,20,4,5,1,0.41168487,7.95E-01
PS170204,40,17,0,0,0,20,4,5,1,0.38699904,7.47E-01
PS170204,41,17,0,0,0,20,4,5,1,0.34371838,6.63E-01
PS170204,42,17,0,0,0,20,4,5,1,0.30916098,5.97E-01
PS170204,43,17,0,0,0,20,4,5,1,0.2647471,5.11E-01
PS170204,44,17,0,0,0,20,4,5,1,0.20895705,4.03E-01
PS170204,45,17,0,0,0,20,4,5,1,0.17882714,3.45E-01
PS170204,46,17,0,0,0,20,4,5,1,0.16326202,3.15E-01
PS170204,47,17,0,0,0,20,4,5,1,0.13611414,2.63E-01
PS170204,48,17,0,0,0,20,4,5,1,0.08625018,1.66E-01
PS180204,20,18,0,0,0,20,4,5,1,0.008642895,1.49E-02
PS180204,21,18,0,0,0,20,4,5,1,0.019926481,3.45E-02
PS180204,22,18,0,0,0,20,4,5,1,0.038049426,6.58E-02
PS180204,23,18,0,0,0,20,4,5,1,0.07216647,1.25E-01
PS180204,24,18,0,0,0,20,4,5,1,0.1197348,2.07E-01
PS180204,25,18,0,0,0,20,4,5,1,0.17846875,3.09E-01
PS180204,26,18,0,0,0,20,4,5,1,0.25047845,4.33E-01
PS180204,27,18,0,0,0,20,4,5,1,0.3089725,5.34E-01
PS180204,28,18,0,0,0,20,4,5,1,0.3582198,6.19E-01
PS180204,29,18,0,0,0,20,4,5,1,0.42036948,7.27E-01
PS180204,30,18,0,0,0,20,4,5,1,0.46555728,8.05E-01
PS180204,31,18,0,0,0,20,4,5,1,0.5145786,8.90E-01
