Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PC120120,10,12,0,0,1,12,0,0,1,1.780080728,0.01137009
PC120120,11,12,0,0,1,12,0,0,1,2.262868858,0.037169002
PC120120,12,12,0,0,1,12,0,0,1,3.083406138,0.045547732
PC120120,13,12,0,0,1,12,0,0,1,4.005981372,0.037804349
PC120120,14,12,0,0,1,12,0,0,1,5.399840856,0.18710633
PC120120,15,12,0,0,1,12,0,0,1,7.172088581,0.218383836
PC120120,16,12,0,0,1,12,0,0,1,9.912618222,0.561289588
PC120120,17,12,0,0,1,12,0,0,1,12.73087775,0.369635739
PC120120,18,12,0,0,1,12,0,0,1,16.86763198,1.189000317
PC120120,19,12,0,0,1,12,0,0,1,21.11462148,1.226027964
PC120120,20,12,0,0,1,12,0,0,1,25.21817771,1.315828651
PC120120,21,12,0,0,1,12,0,0,1,30.04527401,2.462432834
PC120120,22,12,0,0,1,12,0,0,1,34.27852699,2.230399286
PC120120,23,12,0,0,1,12,0,0,1,38.46283455,2.162715204
PC120120,24,12,0,0,1,12,0,0,1,41.76063971,4.211876499
PC120120,25,12,0,0,1,12,0,0,1,44.65817811,6.415674288
PC120120,26,12,0,0,1,12,0,0,1,46.52962834,5.885748253
PC120120,27,12,0,0,1,12,0,0,1,46.43140275,6.279263597
PC120120,28,12,0,0,1,12,0,0,1,48.54461374,5.398009936
PC120120,29,12,0,0,1,12,0,0,1,48.81732479,4.637483825
PC120120,30,12,0,0,1,12,0,0,1,47.59718391,6.042822037
PC120120,31,12,0,0,1,12,0,0,1,47.26208358,4.18725632
PC120120,32,12,0,0,1,12,0,0,1,46.60587265,4.818486045
PC120120,33,12,0,0,1,12,0,0,1,46.03064691,4.529359276
PC120120,34,12,0,0,1,12,0,0,1,44.07228031,6.286109951
PC120120,35,12,0,0,1,12,0,0,1,44.02002835,2.912357573
PC120120,36,12,0,0,1,12,0,0,1,42.18276178,5.106008055
PC120120,37,12,0,0,1,12,0,0,1,40.95981111,6.541603058
PC120120,38,12,0,0,1,12,0,0,1,39.89360962,3.086859552
PC120120,39,12,0,0,1,12,0,0,1,38.29730896,2.846158094
PC120120,40,12,0,0,1,12,0,0,1,37.67075304,4.89630681
PC120120,41,12,0,0,1,12,0,0,1,34.90834935,5.124907602
PC120120,42,12,0,0,1,12,0,0,1,32.97798163,3.851186492
PC120120,43,12,0,0,1,12,0,0,1,31.2700695,1.660847371
PC120120,44,12,0,0,1,12,0,0,1,29.73482489,2.756229037
PC120120,45,12,0,0,1,12,0,0,1,28.39525905,2.418306525
PC120120,46,12,0,0,1,12,0,0,1,26.61070789,1.140229489
PC120120,47,12,0,0,1,12,0,0,1,25.2370757,1.33471007
PC120120,48,12,0,0,1,12,0,0,1,22.93710653,2.448838278
PC120120,49,12,0,0,1,12,0,0,1,20.95243505,1.045364232
PC120120,50,12,0,0,1,12,0,0,1,19.67961683,0.637740661
PC120120,51,12,0,0,1,12,0,0,1,17.73749669,0.993383426
PC120120,52,12,0,0,1,12,0,0,1,16.01262285,0.773059843
