FA_C,FA_DB,FA_iso,CE,norm_Intensity
12,0,0,10,29.93874581
12,0,0,11,39.05255552
12,0,0,12,49.19108992
12,0,0,13,58.72778958
12,0,0,14,66.69715832
12,0,0,15,70.8072491
12,0,0,16,72.06791293
12,0,0,17,71.82222658
12,0,0,18,68.91848763
12,0,0,19,62.26687829
12,0,0,20,55.18901434
12,0,0,21,47.45516751
12,0,0,22,38.95399075
12,0,0,23,31.85300162
12,0,0,24,24.25160142
12,0,0,25,17.95946309
12,0,0,26,13.01328555
12,0,0,27,8.937631754
12,0,0,28,5.897154909
12,0,0,29,3.788329117
12,0,0,30,2.421976945
12,0,0,31,1.413232304
12,0,0,32,0.817486933
12,0,0,33,0.407303386
12,0,0,34,0.220505554
12,0,0,35,0.093831513
12,0,0,36,0.008697109
12,0,0,37,0.002841331
14,0,0,10,28.96372051
14,0,0,11,38.47710312
14,0,0,12,48.90359876
14,0,0,13,58.49893357
14,0,0,14,64.66011771
14,0,0,15,71.62629836
14,0,0,16,73.96966871
14,0,0,17,74.40419654
14,0,0,18,70.66749225
14,0,0,19,67.32788472
14,0,0,20,60.51495496
14,0,0,21,52.64028719
14,0,0,22,44.16260031
14,0,0,23,35.46776695
14,0,0,24,28.059931
14,0,0,25,21.4713561
14,0,0,26,15.39432877
14,0,0,27,10.8273989
14,0,0,28,7.03525087
14,0,0,29,4.561675178
14,0,0,30,2.841679064
14,0,0,31,1.599412948
14,0,0,32,0.934063719
14,0,0,33,0.506327606
14,0,0,34,0.263898069
14,0,0,35,0.055866047
14,0,0,36,0.003675817
14,0,0,37,0.003513067
16,0,0,10,26.04650945
16,0,0,11,35.23090789
16,0,0,12,44.55832485
16,0,0,13,54.99163942
16,0,0,14,63.32472085
16,0,0,15,70.54567124
16,0,0,16,73.41291473
16,0,0,17,73.98180199
16,0,0,18,70.55831109
16,0,0,19,65.84922584
16,0,0,20,58.55370825
16,0,0,21,50.76247044
16,0,0,22,42.59283047
16,0,0,23,34.31785592
16,0,0,24,26.70688952
16,0,0,25,19.71721649
16,0,0,26,14.11960104
16,0,0,27,9.908290464
16,0,0,28,6.573720429
16,0,0,29,4.112042071
16,0,0,30,2.424811675
16,0,0,31,1.488791004
16,0,0,32,0.844744202
16,0,0,33,0.440180521
16,0,0,34,0.192953534
16,0,0,35,0.040134818
16,0,0,36,0.004082274
17,0,0,10,26.13970091
17,0,0,11,35.45211094
17,0,0,12,45.62459896
17,0,0,13,55.24207517
17,0,0,14,64.6612777
17,0,0,15,71.86917597
17,0,0,16,75.89170197
17,0,0,17,77.12723043
17,0,0,18,74.84787452
17,0,0,19,70.93131351
17,0,0,20,64.91870783
17,0,0,21,56.31864652
17,0,0,22,48.67985633
17,0,0,23,40.23270411
17,0,0,24,31.095456
17,0,0,25,23.75255723
17,0,0,26,17.23127042
17,0,0,27,11.81411188
17,0,0,28,8.108291729
17,0,0,29,5.14876736
17,0,0,30,3.144214788
17,0,0,31,1.690007655
17,0,0,32,1.078613571
