Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PA160226,11,16,0,0,0,22,6,4,1,0.020657524,1.11E-02
PA160226,12,16,0,0,0,22,6,4,1,0.038209658,2.05E-02
PA160226,13,16,0,0,0,22,6,4,1,0.07369546,3.95E-02
PA160226,14,16,0,0,0,22,6,4,1,0.115724415,6.21E-02
PA160226,15,16,0,0,0,22,6,4,1,0.16984834,9.11E-02
PA160226,16,16,0,0,0,22,6,4,1,0.25937703,1.39E-01
PA160226,17,16,0,0,0,22,6,4,1,0.3748971,2.01E-01
PA160226,18,16,0,0,0,22,6,4,1,0.504119,2.70E-01
PA160226,19,16,0,0,0,22,6,4,1,0.67347836,3.61E-01
PA160226,20,16,0,0,0,22,6,4,1,0.8796204,4.72E-01
PA160226,21,16,0,0,0,22,6,4,1,1.082796,5.81E-01
PA160226,22,16,0,0,0,22,6,4,1,1.308444,7.02E-01
PA160226,23,16,0,0,0,22,6,4,1,1.5531371,8.33E-01
PA160226,24,16,0,0,0,22,6,4,1,1.7172605,9.21E-01
PA160226,25,16,0,0,0,22,6,4,1,1.791301,9.61E-01
PA160226,26,16,0,0,0,22,6,4,1,1.8432972,9.88E-01
PA160226,27,16,0,0,0,22,6,4,1,1.8648382,1.00E+00
PA160226,28,16,0,0,0,22,6,4,1,1.8539462,9.94E-01
PA160226,29,16,0,0,0,22,6,4,1,1.8061494,9.69E-01
PA160226,30,16,0,0,0,22,6,4,1,1.6889288,9.06E-01
PA160226,31,16,0,0,0,22,6,4,1,1.5229557,8.17E-01
PA160226,32,16,0,0,0,22,6,4,1,1.3418688,7.20E-01
PA160226,33,16,0,0,0,22,6,4,1,1.1691673,6.27E-01
PA160226,34,16,0,0,0,22,6,4,1,1.0367409,5.56E-01
PA160226,35,16,0,0,0,22,6,4,1,0.90756935,4.87E-01
PA160226,36,16,0,0,0,22,6,4,1,0.7601866,4.08E-01
PA160226,37,16,0,0,0,22,6,4,1,0.63914734,3.43E-01
PA160226,38,16,0,0,0,22,6,4,1,0.53426,2.86E-01
PA160226,39,16,0,0,0,22,6,4,1,0.43362048,2.33E-01
PA160226,40,16,0,0,0,22,6,4,1,0.35393766,1.90E-01
PA160226,41,16,0,0,0,22,6,4,1,0.2880548,1.54E-01
PA160226,42,16,0,0,0,22,6,4,1,0.22587134,1.21E-01
PA160226,43,16,0,0,0,22,6,4,1,0.1806766,9.69E-02
PA160226,44,16,0,0,0,22,6,4,1,0.14856191,7.97E-02
PA160226,45,16,0,0,0,22,6,4,1,0.10791505,5.79E-02
PA160226,46,16,0,0,0,22,6,4,1,0.06576278,3.53E-02
PA160226,47,16,0,0,0,22,6,4,1,0.0368912,1.98E-02
PA160226,48,16,0,0,0,22,6,4,1,0.017744347,9.52E-03
PA160226,49,16,0,0,0,22,6,4,1,0.005404245,2.90E-03
PA160226,50,16,0,0,0,22,6,4,1,6.98E-04,3.74E-04
PA170204,15,17,0,0,0,20,4,5,1,9.10E-04,1.62E-03
PA170204,16,17,0,0,0,20,4,5,1,0.004713284,8.41E-03
PA170204,17,17,0,0,0,20,4,5,1,0.014957708,2.67E-02
PA170204,18,17,0,0,0,20,4,5,1,0.034387067,6.14E-02
PA170204,19,17,0,0,0,20,4,5,1,0.068091296,1.22E-01
PA170204,20,17,0,0,0,20,4,5,1,0.10751085,1.92E-01
PA170204,21,17,0,0,0,20,4,5,1,0.14087443,2.51E-01
PA170204,22,17,0,0,0,20,4,5,1,0.1916108,3.42E-01
PA170204,23,17,0,0,0,20,4,5,1,0.2595037,4.63E-01
PA170204,24,17,0,0,0,20,4,5,1,0.3086858,5.51E-01
PA170204,25,17,0,0,0,20,4,5,1,0.35338357,6.31E-01
PA170204,26,17,0,0,0,20,4,5,1,0.4171754,7.45E-01
PA170204,27,17,0,0,0,20,4,5,1,0.4726637,8.44E-01
PA170204,28,17,0,0,0,20,4,5,1,0.5029343,8.98E-01
PA170204,29,17,0,0,0,20,4,5,1,0.53147846,9.49E-01
PA170204,30,17,0,0,0,20,4,5,1,0.5591935,9.98E-01
PA170204,31,17,0,0,0,20,4,5,1,0.560277,1.00E+00
PA170204,32,17,0,0,0,20,4,5,1,0.54873693,9.80E-01
PA170204,33,17,0,0,0,20,4,5,1,0.55228233,9.86E-01
PA170204,34,17,0,0,0,20,4,5,1,0.5533525,9.88E-01
PA170204,35,17,0,0,0,20,4,5,1,0.53539544,9.56E-01
PA170204,36,17,0,0,0,20,4,5,1,0.505731,9.03E-01
PA170204,37,17,0,0,0,20,4,5,1,0.46454802,8.29E-01
PA170204,38,17,0,0,0,20,4,5,1,0.4196087,7.49E-01
PA170204,39,17,0,0,0,20,4,5,1,0.38774607,6.92E-01
PA170204,40,17,0,0,0,20,4,5,1,0.34734872,6.20E-01
PA170204,41,17,0,0,0,20,4,5,1,0.28672528,5.12E-01
PA170204,42,17,0,0,0,20,4,5,1,0.2563403,4.58E-01
PA170204,43,17,0,0,0,20,4,5,1,0.24005978,4.29E-01
PA170204,44,17,0,0,0,20,4,5,1,0.19464393,3.47E-01
PA170204,45,17,0,0,0,20,4,5,1,0.14869148,2.65E-01
PA170204,46,17,0,0,0,20,4,5,1,0.10700505,1.91E-01
PA170204,47,17,0,0,0,20,4,5,1,0.06269722,1.12E-01
PA170204,48,17,0,0,0,20,4,5,1,0.04706362,8.40E-02
PA170204,49,17,0,0,0,20,4,5,1,0.050545514,9.02E-02
PA170204,50,17,0,0,0,20,4,5,1,0.038142085,6.81E-02
PA170204,51,17,0,0,0,20,4,5,1,0.01737887,3.10E-02
PA170204,52,17,0,0,0,20,4,5,1,0.004026365,7.19E-03
PA180204,11,18,0,0,0,20,4,5,1,6.92E-04,1.16E-03
PA180204,12,18,0,0,0,20,4,5,1,6.92E-04,1.16E-03
PA180204,13,18,0,0,0,20,4,5,1,6.92E-04,1.16E-03
PA180204,14,18,0,0,0,20,4,5,1,6.92E-04,1.16E-03
PA180204,15,18,0,0,0,20,4,5,1,6.92E-04,1.16E-03
