Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
DMPE160204,11,16,0,0,0,20,4,5,1,0.015452889,6.11E-03
DMPE160204,12,16,0,0,0,20,4,5,1,0.026854383,1.06E-02
DMPE160204,13,16,0,0,0,20,4,5,1,0.05407232,2.14E-02
DMPE160204,14,16,0,0,0,20,4,5,1,0.11300106,4.47E-02
DMPE160204,15,16,0,0,0,20,4,5,1,0.2069221,8.18E-02
DMPE160204,16,16,0,0,0,20,4,5,1,0.33309987,1.32E-01
DMPE160204,17,16,0,0,0,20,4,5,1,0.46956432,1.86E-01
DMPE160204,18,16,0,0,0,20,4,5,1,0.6291461,2.49E-01
DMPE160204,19,16,0,0,0,20,4,5,1,0.8560941,3.38E-01
DMPE160204,20,16,0,0,0,20,4,5,1,1.0879407,4.30E-01
DMPE160204,21,16,0,0,0,20,4,5,1,1.3078663,5.17E-01
DMPE160204,22,16,0,0,0,20,4,5,1,1.6092379,6.36E-01
DMPE160204,23,16,0,0,0,20,4,5,1,1.9317614,7.63E-01
DMPE160204,24,16,0,0,0,20,4,5,1,2.1265843,8.40E-01
DMPE160204,25,16,0,0,0,20,4,5,1,2.2427392,8.86E-01
DMPE160204,26,16,0,0,0,20,4,5,1,2.3988876,9.48E-01
DMPE160204,27,16,0,0,0,20,4,5,1,2.5306852,1.00E+00
DMPE160204,28,16,0,0,0,20,4,5,1,2.520208,9.96E-01
DMPE160204,29,16,0,0,0,20,4,5,1,2.4168806,9.55E-01
DMPE160204,30,16,0,0,0,20,4,5,1,2.3141608,9.14E-01
DMPE160204,31,16,0,0,0,20,4,5,1,2.228721,8.81E-01
DMPE160204,32,16,0,0,0,20,4,5,1,2.1390772,8.45E-01
DMPE160204,33,16,0,0,0,20,4,5,1,1.9904759,7.87E-01
DMPE160204,34,16,0,0,0,20,4,5,1,1.7835382,7.05E-01
DMPE160204,35,16,0,0,0,20,4,5,1,1.5472549,6.11E-01
DMPE160204,36,16,0,0,0,20,4,5,1,1.3418778,5.30E-01
DMPE160204,37,16,0,0,0,20,4,5,1,1.1877251,4.69E-01
DMPE160204,38,16,0,0,0,20,4,5,1,1.0691657,4.22E-01
DMPE160204,39,16,0,0,0,20,4,5,1,0.9726123,3.84E-01
DMPE160204,40,16,0,0,0,20,4,5,1,0.8379696,3.31E-01
DMPE160204,41,16,0,0,0,20,4,5,1,0.677653,2.68E-01
DMPE160204,42,16,0,0,0,20,4,5,1,0.53370726,2.11E-01
DMPE160204,43,16,0,0,0,20,4,5,1,0.43825582,1.73E-01
DMPE160204,44,16,0,0,0,20,4,5,1,0.37350497,1.48E-01
DMPE160204,45,16,0,0,0,20,4,5,1,0.3002635,1.19E-01
DMPE160204,46,16,0,0,0,20,4,5,1,0.23721804,9.37E-02
DMPE160204,47,16,0,0,0,20,4,5,1,0.16988318,6.71E-02
DMPE160204,48,16,0,0,0,20,4,5,1,0.0929271,3.67E-02
DMPE160204,49,16,0,0,0,20,4,5,1,0.042547017,1.68E-02
DMPE160204,50,16,0,0,0,20,4,5,1,0.019286651,7.62E-03
DMPE160226,11,16,0,0,0,22,6,4,1,0.3357655,4.73E-02
DMPE160226,12,16,0,0,0,22,6,4,1,0.5124439,7.23E-02
DMPE160226,13,16,0,0,0,22,6,4,1,0.72945714,1.03E-01
DMPE160226,14,16,0,0,0,22,6,4,1,1.0107865,1.43E-01
DMPE160226,15,16,0,0,0,22,6,4,1,1.410804,1.99E-01
DMPE160226,16,16,0,0,0,22,6,4,1,1.9833,2.80E-01
DMPE160226,17,16,0,0,0,22,6,4,1,2.6904633,3.79E-01
DMPE160226,18,16,0,0,0,22,6,4,1,3.5175173,4.96E-01
DMPE160226,19,16,0,0,0,22,6,4,1,4.474925,6.31E-01
DMPE160226,20,16,0,0,0,22,6,4,1,5.4000034,7.61E-01
