Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PG160204,11,16,0,0,0,20,4,5,1,0.00302467,1.31E-03
PG160204,12,16,0,0,0,20,4,5,1,0.004398403,1.91E-03
PG160204,13,16,0,0,0,20,4,5,1,0.009279117,4.03E-03
PG160204,14,16,0,0,0,20,4,5,1,0.03387609,1.47E-02
PG160204,15,16,0,0,0,20,4,5,1,0.07023232,3.05E-02
PG160204,16,16,0,0,0,20,4,5,1,0.1161775,5.05E-02
PG160204,17,16,0,0,0,20,4,5,1,0.2032935,8.83E-02
PG160204,18,16,0,0,0,20,4,5,1,0.3080636,1.34E-01
PG160204,19,16,0,0,0,20,4,5,1,0.426725,1.85E-01
PG160204,20,16,0,0,0,20,4,5,1,0.57957715,2.52E-01
PG160204,21,16,0,0,0,20,4,5,1,0.77345765,3.36E-01
PG160204,22,16,0,0,0,20,4,5,1,1.0290663,4.47E-01
PG160204,23,16,0,0,0,20,4,5,1,1.2926651,5.62E-01
PG160204,24,16,0,0,0,20,4,5,1,1.5383108,6.68E-01
PG160204,25,16,0,0,0,20,4,5,1,1.7815481,7.74E-01
PG160204,26,16,0,0,0,20,4,5,1,2.015492,8.76E-01
PG160204,27,16,0,0,0,20,4,5,1,2.1861622,9.50E-01
PG160204,28,16,0,0,0,20,4,5,1,2.2688034,9.86E-01
PG160204,29,16,0,0,0,20,4,5,1,2.301304,1.00E+00
PG160204,30,16,0,0,0,20,4,5,1,2.27367,9.88E-01
PG160204,31,16,0,0,0,20,4,5,1,2.2120361,9.61E-01
PG160204,32,16,0,0,0,20,4,5,1,2.1295328,9.25E-01
PG160204,33,16,0,0,0,20,4,5,1,1.9887667,8.64E-01
PG160204,34,16,0,0,0,20,4,5,1,1.8004408,7.82E-01
PG160204,35,16,0,0,0,20,4,5,1,1.6105098,7.00E-01
PG160204,36,16,0,0,0,20,4,5,1,1.4362262,6.24E-01
PG160204,37,16,0,0,0,20,4,5,1,1.2597585,5.47E-01
PG160204,38,16,0,0,0,20,4,5,1,1.0862962,4.72E-01
PG160204,39,16,0,0,0,20,4,5,1,0.94673246,4.11E-01
PG160204,40,16,0,0,0,20,4,5,1,0.8237418,3.58E-01
PG160204,41,16,0,0,0,20,4,5,1,0.70789266,3.08E-01
PG160204,42,16,0,0,0,20,4,5,1,0.601308,2.61E-01
PG160204,43,16,0,0,0,20,4,5,1,0.49229223,2.14E-01
PG160204,44,16,0,0,0,20,4,5,1,0.40996245,1.78E-01
PG160204,45,16,0,0,0,20,4,5,1,0.3586056,1.56E-01
PG160204,46,16,0,0,0,20,4,5,1,0.29517725,1.28E-01
PG160204,47,16,0,0,0,20,4,5,1,0.21252894,9.24E-02
PG160204,48,16,0,0,0,20,4,5,1,0.14814809,6.44E-02
PG160204,49,16,0,0,0,20,4,5,1,0.09783166,4.25E-02
PG160204,50,16,0,0,0,20,4,5,1,0.050977923,2.22E-02
PG160226,11,16,0,0,0,22,6,4,1,0.1486922,2.37E-02
PG160226,12,16,0,0,0,22,6,4,1,0.22845337,3.64E-02
PG160226,13,16,0,0,0,22,6,4,1,0.33087665,5.27E-02
PG160226,14,16,0,0,0,22,6,4,1,0.44522434,7.09E-02
PG160226,15,16,0,0,0,22,6,4,1,0.61852217,9.86E-02
PG160226,16,16,0,0,0,22,6,4,1,0.871211,1.39E-01
PG160226,17,16,0,0,0,22,6,4,1,1.2355077,1.97E-01
PG160226,18,16,0,0,0,22,6,4,1,1.7700635,2.82E-01
PG160226,19,16,0,0,0,22,6,4,1,2.451389,3.91E-01
PG160226,20,16,0,0,0,22,6,4,1,3.1901543,5.08E-01
PG160226,21,16,0,0,0,22,6,4,1,3.9913995,6.36E-01
PG160226,22,16,0,0,0,22,6,4,1,4.8321776,7.70E-01
PG160226,23,16,0,0,0,22,6,4,1,5.5383773,8.82E-01
PG160226,24,16,0,0,0,22,6,4,1,6.032129,9.61E-01
PG160226,25,16,0,0,0,22,6,4,1,6.2761483,1.00E+00
PG160226,26,16,0,0,0,22,6,4,1,6.248051,9.96E-01
PG160226,27,16,0,0,0,22,6,4,1,6.0705748,9.67E-01
PG160226,28,16,0,0,0,22,6,4,1,5.726708,9.12E-01
PG160226,29,16,0,0,0,22,6,4,1,5.223947,8.32E-01
PG160226,30,16,0,0,0,22,6,4,1,4.704018,7.50E-01
PG160226,31,16,0,0,0,22,6,4,1,4.165869,6.64E-01
PG160226,32,16,0,0,0,22,6,4,1,3.6087198,5.75E-01
PG160226,33,16,0,0,0,22,6,4,1,3.0818655,4.91E-01
PG160226,34,16,0,0,0,22,6,4,1,2.6191602,4.17E-01
PG160226,35,16,0,0,0,22,6,4,1,2.1616948,3.44E-01
PG160226,36,16,0,0,0,22,6,4,1,1.7192799,2.74E-01
PG160226,37,16,0,0,0,22,6,4,1,1.3824089,2.20E-01
PG160226,38,16,0,0,0,22,6,4,1,1.1195459,1.78E-01
PG160226,39,16,0,0,0,22,6,4,1,0.93317246,1.49E-01
PG160226,40,16,0,0,0,22,6,4,1,0.7859745,1.25E-01
PG160226,41,16,0,0,0,22,6,4,1,0.61628306,9.82E-02
PG160226,42,16,0,0,0,22,6,4,1,0.45782188,7.29E-02
PG160226,43,16,0,0,0,22,6,4,1,0.34085232,5.43E-02
PG160226,44,16,0,0,0,22,6,4,1,0.26045516,4.15E-02
PG160226,45,16,0,0,0,22,6,4,1,0.18029268,2.87E-02
PG160226,46,16,0,0,0,22,6,4,1,0.100859225,1.61E-02
PG160226,47,16,0,0,0,22,6,4,1,0.052091856,8.30E-03
PG160226,48,16,0,0,0,22,6,4,1,0.028788723,4.59E-03
PG160226,49,16,0,0,0,22,6,4,1,0.01719978,2.74E-03
PG160226,50,16,0,0,0,22,6,4,1,0.008940537,1.42E-03
PG170204,11,16,0,0,0,20,4,5,1,0.005505104,2.30E-03
PG170204,12,16,0,0,0,20,4,5,1,0.009630307,4.02E-03
PG170204,13,16,0,0,0,20,4,5,1,0.01905714,7.95E-03
PG170204,14,16,0,0,0,20,4,5,1,0.0394151,1.64E-02
PG170204,15,16,0,0,0,20,4,5,1,0.07423835,3.10E-02
PG170204,16,16,0,0,0,20,4,5,1,0.12950477,5.40E-02
PG170204,17,16,0,0,0,20,4,5,1,0.20895006,8.71E-02
PG170204,18,16,0,0,0,20,4,5,1,0.30124915,1.26E-01
PG170204,19,16,0,0,0,20,4,5,1,0.40832442,1.70E-01
PG170204,20,16,0,0,0,20,4,5,1,0.56050783,2.34E-01
PG170204,21,16,0,0,0,20,4,5,1,0.76729643,3.20E-01
PG170204,22,16,0,0,0,20,4,5,1,1.0153575,4.23E-01
PG170204,23,16,0,0,0,20,4,5,1,1.2790843,5.33E-01
PG170204,24,16,0,0,0,20,4,5,1,1.541936,6.43E-01
PG170204,25,16,0,0,0,20,4,5,1,1.8161947,7.57E-01
PG170204,26,16,0,0,0,20,4,5,1,2.0650814,8.61E-01
PG170204,27,16,0,0,0,20,4,5,1,2.2255077,9.28E-01
PG170204,28,16,0,0,0,20,4,5,1,2.3245678,9.70E-01
PG170204,29,16,0,0,0,20,4,5,1,2.397664,1.00E+00
PG170204,30,16,0,0,0,20,4,5,1,2.3920426,9.98E-01
PG170204,31,16,0,0,0,20,4,5,1,2.2854686,9.53E-01
PG170204,32,16,0,0,0,20,4,5,1,2.1394207,8.92E-01
PG170204,33,16,0,0,0,20,4,5,1,2.014688,8.40E-01
PG170204,34,16,0,0,0,20,4,5,1,1.8950698,7.90E-01
PG170204,35,16,0,0,0,20,4,5,1,1.7301981,7.22E-01
PG170204,36,16,0,0,0,20,4,5,1,1.5532204,6.48E-01
PG170204,37,16,0,0,0,20,4,5,1,1.3988618,5.83E-01
PG170204,38,16,0,0,0,20,4,5,1,1.226859,5.12E-01
PG170204,39,16,0,0,0,20,4,5,1,1.0526451,4.39E-01
PG170204,40,16,0,0,0,20,4,5,1,0.9281455,3.87E-01
PG170204,41,16,0,0,0,20,4,5,1,0.8197326,3.42E-01
PG170204,42,16,0,0,0,20,4,5,1,0.68880177,2.87E-01
PG170204,43,16,0,0,0,20,4,5,1,0.55015355,2.29E-01
PG170204,44,16,0,0,0,20,4,5,1,0.44420797,1.85E-01
PG170204,45,16,0,0,0,20,4,5,1,0.36284927,1.51E-01
PG170204,46,16,0,0,0,20,4,5,1,0.28253233,1.18E-01
PG170204,47,16,0,0,0,20,4,5,1,0.2184324,9.11E-02
PG170204,48,16,0,0,0,20,4,5,1,0.16880338,7.04E-02
PG170204,49,16,0,0,0,20,4,5,1,0.12615567,5.26E-02
PG170204,50,16,0,0,0,20,4,5,1,0.08347266,3.48E-02
PG180226,11,18,0,0,0,22,6,4,1,0.11627435,1.82E-02
PG180226,12,18,0,0,0,22,6,4,1,0.178377,2.80E-02
PG180226,13,18,0,0,0,22,6,4,1,0.27395752,4.29E-02
PG180226,14,18,0,0,0,22,6,4,1,0.39897957,6.25E-02
PG180226,15,18,0,0,0,22,6,4,1,0.548335,8.59E-02
PG180226,16,18,0,0,0,22,6,4,1,0.7694759,1.21E-01
PG180226,17,18,0,0,0,22,6,4,1,1.1097354,1.74E-01
PG180226,18,18,0,0,0,22,6,4,1,1.5739547,2.47E-01
PG180226,19,18,0,0,0,22,6,4,1,2.1718328,3.40E-01
PG180226,20,18,0,0,0,22,6,4,1,2.8971252,4.54E-01
PG180226,21,18,0,0,0,22,6,4,1,3.6670601,5.75E-01
PG180226,22,18,0,0,0,22,6,4,1,4.432142,6.95E-01
PG180226,23,18,0,0,0,22,6,4,1,5.2066827,8.16E-01
PG180226,24,18,0,0,0,22,6,4,1,5.8592167,9.18E-01
PG180226,25,18,0,0,0,22,6,4,1,6.252223,9.80E-01
PG180226,26,18,0,0,0,22,6,4,1,6.3805265,1.00E+00
PG180226,27,18,0,0,0,22,6,4,1,6.228255,9.76E-01
PG180226,28,18,0,0,0,22,6,4,1,5.8584504,9.18E-01
PG180226,29,18,0,0,0,22,6,4,1,5.4225373,8.50E-01
PG180226,30,18,0,0,0,22,6,4,1,4.9355226,7.74E-01
PG180226,31,18,0,0,0,22,6,4,1,4.3338614,6.79E-01
PG180226,32,18,0,0,0,22,6,4,1,3.718975,5.83E-01
PG180226,33,18,0,0,0,22,6,4,1,3.1964943,5.01E-01
PG180226,34,18,0,0,0,22,6,4,1,2.6951385,4.22E-01
PG180226,35,18,0,0,0,22,6,4,1,2.2364137,3.51E-01
PG180226,36,18,0,0,0,22,6,4,1,1.8653569,2.92E-01
PG180226,37,18,0,0,0,22,6,4,1,1.5377451,2.41E-01
PG180226,38,18,0,0,0,22,6,4,1,1.2496397,1.96E-01
PG180226,39,18,0,0,0,22,6,4,1,1.0014638,1.57E-01
PG180226,40,18,0,0,0,22,6,4,1,0.7939889,1.24E-01
PG180226,41,18,0,0,0,22,6,4,1,0.63363653,9.93E-02
PG180226,42,18,0,0,0,22,6,4,1,0.50967777,7.99E-02
PG180226,43,18,0,0,0,22,6,4,1,0.4042783,6.34E-02
PG180226,44,18,0,0,0,22,6,4,1,0.31507936,4.94E-02
PG180226,45,18,0,0,0,22,6,4,1,0.24636626,3.86E-02
PG180226,46,18,0,0,0,22,6,4,1,0.18684052,2.93E-02
PG180226,47,18,0,0,0,22,6,4,1,0.122757904,1.92E-02
PG180226,48,18,0,0,0,22,6,4,1,0.06832006,1.07E-02
PG180226,49,18,0,0,0,22,6,4,1,0.031862102,4.99E-03
PG180226,50,18,0,0,0,22,6,4,1,0.010509345,1.65E-03
PG204204,11,20,4,5,1,20,4,5,1,0.010158562,3.22E-03
PG204204,12,20,4,5,1,20,4,5,1,0.026634727,8.45E-03
PG204204,13,20,4,5,1,20,4,5,1,0.052776076,1.67E-02
PG204204,14,20,4,5,1,20,4,5,1,0.091812834,2.91E-02
PG204204,15,20,4,5,1,20,4,5,1,0.15171508,4.81E-02
PG204204,16,20,4,5,1,20,4,5,1,0.2387759,7.57E-02
PG204204,17,20,4,5,1,20,4,5,1,0.36384413,1.15E-01
PG204204,18,20,4,5,1,20,4,5,1,0.5222293,1.66E-01
PG204204,19,20,4,5,1,20,4,5,1,0.72263646,2.29E-01
PG204204,20,20,4,5,1,20,4,5,1,0.99942124,3.17E-01
PG204204,21,20,4,5,1,20,4,5,1,1.3249631,4.20E-01
