Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var,,,,,,,
PI170204,18,17,0,0,0,20,4,5,1,0.002001335,1.89E-03,,,,,,,
PI170204,19,17,0,0,0,20,4,5,1,0.009146382,8.62E-03,,,,,,,
PI170204,20,17,0,0,0,20,4,5,1,0.028610334,2.70E-02,,,,,,,
PI170204,21,17,0,0,0,20,4,5,1,0.07559055,7.12E-02,,,,,,,
PI170204,22,17,0,0,0,20,4,5,1,0.1469851,1.38E-01,,,,,,,
PI170204,23,17,0,0,0,20,4,5,1,0.2177315,2.05E-01,,,,,,,
PI170204,24,17,0,0,0,20,4,5,1,0.2943369,2.77E-01,,,,,,,
PI170204,25,17,0,0,0,20,4,5,1,0.40883175,3.85E-01,,,,,,,
PI170204,26,17,0,0,0,20,4,5,1,0.5383213,5.07E-01,,,,,,,
PI170204,27,17,0,0,0,20,4,5,1,0.65369636,6.16E-01,,,,,,,
PI170204,28,17,0,0,0,20,4,5,1,0.75749785,7.14E-01,,,,,,,
PI170204,29,17,0,0,0,20,4,5,1,0.8551024,8.06E-01,,,,,,,
PI170204,30,17,0,0,0,20,4,5,1,0.94714904,8.92E-01,,,,,,,
PI170204,31,17,0,0,0,20,4,5,1,1.021272,9.62E-01,,,,,,,
PI170204,32,17,0,0,0,20,4,5,1,1.0612658,1.00E+00,,,,,,,
PI170204,33,17,0,0,0,20,4,5,1,1.0508145,9.90E-01,,,,,,,
PI170204,34,17,0,0,0,20,4,5,1,1.0385451,9.79E-01,,,,,,,
PI170204,35,17,0,0,0,20,4,5,1,1.0261065,9.67E-01,,,,,,,
PI170204,36,17,0,0,0,20,4,5,1,0.9568316,9.02E-01,,,,,,,
PI170204,37,17,0,0,0,20,4,5,1,0.8494125,8.00E-01,,,,,,,
PI170204,38,17,0,0,0,20,4,5,1,0.75784117,7.14E-01,,,,,,,
PI170204,39,17,0,0,0,20,4,5,1,0.69393164,6.54E-01,,,,,,,
PI170204,40,17,0,0,0,20,4,5,1,0.6231569,5.87E-01,,,,,,,
PI170204,41,17,0,0,0,20,4,5,1,0.54484373,5.13E-01,,,,,,,
PI170204,42,17,0,0,0,20,4,5,1,0.47692248,4.49E-01,,,,,,,
PI170204,43,17,0,0,0,20,4,5,1,0.42300087,3.99E-01,,,,,,,
PI170204,44,17,0,0,0,20,4,5,1,0.35918042,3.38E-01,,,,,,,
PI170204,45,17,0,0,0,20,4,5,1,0.2793266,2.63E-01,,,,,,,
PI170204,46,17,0,0,0,20,4,5,1,0.21466051,2.02E-01,,,,,,,
PI170204,47,17,0,0,0,20,4,5,1,0.17567164,1.66E-01,,,,,,,
PI170204,48,17,0,0,0,20,4,5,1,0.14564821,1.37E-01,,,,,,,
PI170204,49,17,0,0,0,20,4,5,1,0.10156282,9.57E-02,,,,,,,
PI170204,50,17,0,0,0,20,4,5,1,0.0566647,5.34E-02,,,,,,,
PI180204,18,18,0,0,0,20,4,5,1,0.03837753,3.41E-02,,,,,,,
PI180204,19,18,0,0,0,20,4,5,1,0.04832585,4.30E-02,,,,,,,
PI180204,20,18,0,0,0,20,4,5,1,0.068201154,6.06E-02,,,,,,,
PI180204,21,18,0,0,0,20,4,5,1,0.107305974,9.54E-02,,,,,,,
PI180204,22,18,0,0,0,20,4,5,1,0.16795863,1.49E-01,,,,,,,
PI180204,23,18,0,0,0,20,4,5,1,0.24664277,2.19E-01,,,,,,,
PI180204,24,18,0,0,0,20,4,5,1,0.33491716,2.98E-01,,,,,,,
PI180204,25,18,0,0,0,20,4,5,1,0.43716678,3.89E-01,,,,,,,
PI180204,26,18,0,0,0,20,4,5,1,0.55549216,4.94E-01,,,,,,,
PI180204,27,18,0,0,0,20,4,5,1,0.67594904,6.01E-01,,,,,,,
PI180204,28,18,0,0,0,20,4,5,1,0.7810126,6.94E-01,,,,,,,
PI180204,29,18,0,0,0,20,4,5,1,0.9010714,8.01E-01,,,,,,,
PI180204,30,18,0,0,0,20,4,5,1,1.0341201,9.19E-01,,,,,,,
PI180204,31,18,0,0,0,20,4,5,1,1.1066349,9.84E-01,,,,,,,
PI180204,32,18,0,0,0,20,4,5,1,1.1187731,9.95E-01,,,,,,,
PI180204,33,18,0,0,0,20,4,5,1,1.124915,1.00E+00,,,,,,,
PI180204,34,18,0,0,0,20,4,5,1,1.1239843,9.99E-01,,,,,,,
PI180204,35,18,0,0,0,20,4,5,1,1.074588,9.55E-01,,,,,,,
PI180204,36,18,0,0,0,20,4,5,1,0.99137026,8.81E-01,,,,,,,
PI180204,37,18,0,0,0,20,4,5,1,0.93563193,8.32E-01,,,,,,,
PI180204,38,18,0,0,0,20,4,5,1,0.8729202,7.76E-01,,,,,,,
PI180204,39,18,0,0,0,20,4,5,1,0.76248586,6.78E-01,,,,,,,
PI180204,40,18,0,0,0,20,4,5,1,0.6597149,5.86E-01,,,,,,,
PI180204,41,18,0,0,0,20,4,5,1,0.58059883,5.16E-01,,,,,,,
PI180204,42,18,0,0,0,20,4,5,1,0.51270056,4.56E-01,,,,,,,
PI180204,43,18,0,0,0,20,4,5,1,0.44532686,3.96E-01,,,,,,,
PI180204,44,18,0,0,0,20,4,5,1,0.369871,3.29E-01,,,,,,,
PI180204,45,18,0,0,0,20,4,5,1,0.31014517,2.76E-01,,,,,,,
PI180204,46,18,0,0,0,20,4,5,1,0.2670998,2.37E-01,,,,,,,
PI180204,47,18,0,0,0,20,4,5,1,0.21733007,1.93E-01,,,,,,,
PI180204,48,18,0,0,0,20,4,5,1,0.16202788,1.44E-01,,,,,,,
PI180204,49,18,0,0,0,20,4,5,1,0.12041262,1.07E-01,,,,,,,
PI180204,50,18,0,0,0,20,4,5,1,0.09601154,8.54E-02,,,,,,,
PI210226,18,21,0,0,0,22,6,4,1,0.14750744,5.88E-02,,,,,,,
PI210226,19,21,0,0,0,22,6,4,1,0.24260108,9.67E-02,,,,,,,
PI210226,20,21,0,0,0,22,6,4,1,0.35570002,1.42E-01,,,,,,,
PI210226,21,21,0,0,0,22,6,4,1,0.50505435,2.01E-01,,,,,,,
PI210226,22,21,0,0,0,22,6,4,1,0.7204998,2.87E-01,,,,,,,
PI210226,23,21,0,0,0,22,6,4,1,0.97480536,3.89E-01,,,,,,,
PI210226,24,21,0,0,0,22,6,4,1,1.2696018,5.06E-01,,,,,,,
PI210226,25,21,0,0,0,22,6,4,1,1.6433177,6.55E-01,,,,,,,
PI210226,26,21,0,0,0,22,6,4,1,1.9780922,7.88E-01,,,,,,,
PI210226,27,21,0,0,0,22,6,4,1,2.1825457,8.70E-01,,,,,,,
PI210226,28,21,0,0,0,22,6,4,1,2.354563,9.38E-01,,,,,,,
PI210226,29,21,0,0,0,22,6,4,1,2.4761062,9.87E-01,,,,,,,
PI210226,30,21,0,0,0,22,6,4,1,2.509146,1.00E+00,,,,,,,
PI210226,31,21,0,0,0,22,6,4,1,2.4769645,9.87E-01,,,,,,,
PI210226,32,21,0,0,0,22,6,4,1,2.3499804,9.37E-01,,,,,,,
PI210226,33,21,0,0,0,22,6,4,1,2.1365576,8.52E-01,,,,,,,
PI210226,34,21,0,0,0,22,6,4,1,1.9008286,7.58E-01,,,,,,,
PI210226,35,21,0,0,0,22,6,4,1,1.6769642,6.68E-01,,,,,,,
PI210226,36,21,0,0,0,22,6,4,1,1.4513253,5.78E-01,,,,,,,
PI210226,37,21,0,0,0,22,6,4,1,1.2407386,4.94E-01,,,,,,,
PI210226,38,21,0,0,0,22,6,4,1,1.0541911,4.20E-01,,,,,,,
PI210226,39,21,0,0,0,22,6,4,1,0.8768969,3.49E-01,,,,,,,
PI210226,40,21,0,0,0,22,6,4,1,0.7064304,2.82E-01,,,,,,,
PI210226,41,21,0,0,0,22,6,4,1,0.5741564,2.29E-01,,,,,,,
PI210226,42,21,0,0,0,22,6,4,1,0.47525817,1.89E-01,,,,,,,
PI210226,43,21,0,0,0,22,6,4,1,0.37374464,1.49E-01,,,,,,,
PI210226,44,21,0,0,0,22,6,4,1,0.28220317,1.12E-01,,,,,,,
PI210226,45,21,0,0,0,22,6,4,1,0.22487526,8.96E-02,,,,,,,
PI210226,46,21,0,0,0,22,6,4,1,0.19124223,7.62E-02,,,,,,,
PI210226,47,21,0,0,0,22,6,4,1,0.14479415,5.77E-02,,,,,,,
PI210226,48,21,0,0,0,22,6,4,1,0.09609495,3.83E-02,,,,,,,
