FA_anion	mz	FA_C	FA_DB	FA_iso
1	185.15	11	0	0
2	199.17	12	0	0
3	213.18	13	0	0
4	227.2	14	0	0
5	225.19	14	1	7
6	241.22	15	0	0
7	239.2	15	1	7
8	255.23	16	0	0
9	253.22	16	1	9
10	251.2	16	2	9
11	249.19	16	3	7
12	269.25	17	0	0
13	267.23	17	1	9
14	265.22	17	2	9
15	283.26	18	0	0
16	281.25	18	1	9
17	279.23	18	2	9
18	277.22	18	3	6
19	277.22	18	3	9
20	275.2	18	4	8
21	297.28	19	0	0
22	295.26	19	1	9
23	293.25	19	2	9
24	291.23	19	3	6
25	291.23	19	3	9
26	311.29	20	0	0
27	309.28	20	1	11
28	307.26	20	2	11
29	305.25	20	3	5
30	305.25	20	3	11
31	303.23	20	4	5
32	303.23	20	4	8
33	301.22	20	5	5
34	325.31	21	0	0
35	323.3	21	1	11
36	321.28	21	2	11
37	319.26	21	3	5
38	319.26	21	3	11
39	317.25	21	4	5
40	317.25	21	4	8
41	339.32	22	0	0
42	337.31	22	1	13
43	335.29	22	2	13
44	333.28	22	3	13
45	331.26	22	4	7
46	331.26	22	4	10
47	329.25	22	5	4
48	329.25	22	5	7
49	327.23	22	6	4
50	353.34	23	0	0
51	351.33	23	1	13
52	349.31	23	2	13
53	347.3	23	3	13
54	345.28	23	4	7
55	345.28	23	4	10
56	367.36	24	0	0
57	365.34	24	1	15
58	363.32	24	2	15
59	361.3	24	3	15
60	359.3	24	4	9
61	357.26	24	4	12
62	357.28	24	5	6
63	357.28	24	5	9
64	355.26	24	6	6
65	383.29	26	6	8
66	411.32	28	6	10
67	439.35	30	6	12
68	467.39	32	6	14
69	495.42	34	6	16
