Species	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	FAI.FC_Group-1
PC 24:0:0	2.5844119	2.482953	2.5177803	[2.482953..2.5844119]	Sum	[2.4938433..2.6974888]	[2.3622398..2.5280182]	[2.4764593..2.5608318]	[2.3622398..2.6974888]	
					PC 12:0/12:0	[2.5220075..2.669161]	[2.3875709..2.5021374]	[2.481111..2.5540292]	[2.3875709..2.669161]	
PC 25:0:0	3.043405	2.9103198	2.9443402	[2.9103198..3.043405]	Sum	[2.9461043..3.1234767]	[2.7766304..3.0417447]	[2.8790991..2.940863]	[2.7766304..3.1234767]	
					PC 13:0/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 12:0/13:0	[2.9787397..3.0914607]	[2.8068454..3.0165558]	[2.88701..2.9368248]	[2.8068454..3.0914607]	
PC 28:0:0	4.020561	3.9953542	3.970446	[3.970446..4.020561]	Sum	[3.9675615..4.1740375]	[3.9770947..4.2056875]	[3.92606..4.122677]	[3.92606..4.2056875]	
					PC 14:0/14:0	[4.0121818..4.1277204]	[4.016156..4.161337]	[3.933435..4.1117253]	[3.933435..4.161337]	
PC 31:1:0	5.1529684	5.14767	5.141468	[5.141468..5.1529684]	Sum	[4.8017764..5.1602964]	[4.827199..5.0172544]	[4.794217..5.0434804]	[4.794217..5.1602964]	
					PC 17:0/14:1	[4.810207..5.103035]	[4.878962..5.0079374]	[4.7876334..5.030083]	[4.7876334..5.103035]	
					PC 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PC 32:0:0	5.310217	5.334543	5.3577995	[5.310217..5.3577995]	Sum	[5.380263..5.849781]	[5.2954783..5.8629055]	[5.440547..5.7774553]	[5.2954783..5.8629055]	
					PC 18:0/14:0	[2.7025313..2.939148]	[2.716743..2.941691]	[2.697303..2.9753795]	[2.697303..2.9753795]	
					PC 14:0/18:0	[2.6588542..2.8933132]	[2.6355655..2.8556764]	[2.6207063..2.8954268]	[2.6207063..2.8954268]	
					PC 16:0/16:0	[0.0144667635..0.02115979]	[0.014477691..0.024697691]	[0.015052659..0.022266876]	[0.0144667635..0.024697691]	
PC 34:0:0	6.355478	6.3633494	6.34157	[6.34157..6.3633494]	Sum	[6.118768..6.460508]	[6.4417877..6.845]	[6.2731676..6.523079]	[6.118768..6.845]	
					PC 18:0/16:0	[0.0..0.0743787]	[0.0..0.119675614]	[0.0..0.023161512]	[0.0..0.119675614]	
					PC 16:0/18:0	[3.1109157..3.2338564]	[3.2052326..3.4193032]	[3.1886685..3.308787]	[3.1109157..3.4193032]	
					PC 17:0/17:0	[3.001744..3.1579874]	[3.2075477..3.3405025]	[3.0731704..3.2242064]	[3.001744..3.3405025]	
PC 36:0:0	6.7174063	6.7378173	6.765615	[6.7174063..6.765615]	Sum	[6.567081..6.8496494]	[6.4282694..6.837018]	[6.5497174..6.9263644]	[6.4282694..6.9263644]	
					PC 18:0/18:0	[6.640936..6.7777185]	[6.4914055..6.7649193]	[6.562021..6.907965]	[6.4914055..6.907965]	
PC 36:2:0	4.540838	4.578577	4.5595503	[4.540838..4.578577]	Sum	[4.279496..4.4540787]	[4.2711825..4.6138005]	[4.215562..4.7292457]	[4.215562..4.7292457]	
					PC 18:0/18:2	[4.235631..4.50417]	[4.2084107..4.6640077]	[4.204364..4.738129]	[4.204364..4.738129]	
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.027984045]	[0.0..0.0]	[0.0..0.027984045]	
PC 36:4:0	9.3053465	9.376985	9.296669	[9.296669..9.376985]	Sum	[8.054791..10.664401]	[7.879232..10.513681]	[8.964612..9.833047]	[7.879232..10.664401]	
					PC 20:4 (5z-8z)/16:0	[1.528122..2.8476236]	[1.5179921..2.786071]	[1.7564548..2.1500394]	[1.5179921..2.8476236]	
					PC 16:0/20:4 (5z-8z)	[4.0462008..5.607852]	[3.953239..5.493155]	[4.816529..5.367883]	[3.953239..5.607852]	
					PC 18:2/18:2	[2.3188472..2.3958814]	[2.2914226..2.4083083]	[2.265634..2.3851635]	[2.265634..2.4083083]	
PC 36:6:0	4.8392963	4.8289	4.761948	[4.761948..4.8392963]	Sum	[5.031825..6.3195505]	[4.980654..6.3645334]	[4.875802..6.386485]	[4.875802..6.386485]	
					PC 18:3 (6z-9z)/18:3 (6z-9z)	[5.0884137..6.2531857]	[5.029572..6.2993755]	[4.8849607..6.369309]	[4.8849607..6.369309]	
PC 37:4:0	4.17403	4.181953	4.1711698	[4.1711698..4.181953]	Sum	[4.1135025..4.3268485]	[4.036249..4.3696394]	[3.9664085..4.2727513]	[3.9664085..4.3696394]	
					PC 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 17:0/20:4 (5z-8z)	[4.069651..4.2824974]	[4.0314937..4.3334537]	[3.9557412..4.2668843]	[3.9557412..4.3334537]	
PC 38:4:0	2.5042863	2.4936118	2.482803	[2.482803..2.5042863]	Sum	[2.288308..2.5363815]	[2.108588..2.434218]	[2.1960099..2.5084145]	[2.108588..2.5363815]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.012242323]	[0.0..0.0]	[0.0..0.012242323]	
					PC 18:0/20:4 (5z-8z)	[2.2642775..2.5135784]	[2.0911264..2.4484646]	[2.1929944..2.515307]	[2.0911264..2.515307]	
