Species	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	FAI.FC_Group-1
PC 24:0:0	38.46805	38.64791	38.73718	[38.46805..38.73718]	Sum	[38.545605..38.545605]	[38.34892..38.34892]	[38.024086..38.024086]	[38.024086..38.545605]	
					PC 12:0/12:0	[38.545605..38.545605]	[38.34892..38.34892]	[38.024086..38.024086]	[38.024086..38.545605]	
PC 25:0:0	45.3	45.3	45.3	[45.3..45.3]	Sum	[45.3..45.3]	[45.3..45.3]	[45.3..45.3]	[45.3..45.3]	
					PC 12:0-13:0	[45.3..45.3]	[45.3..45.3]	[45.3..45.3]	[45.3..45.3]	
PC 28:0:0	59.84462	62.18888	61.087097	[59.84462..62.18888]	Sum	[64.754524..64.754524]	[70.00659..70.00659]	[66.7383..66.7383]	[64.754524..70.00659]	
					PC 14:0/14:0	[64.754524..64.754524]	[70.00659..70.00659]	[66.7383..66.7383]	[64.754524..70.00659]	
PC 31:1:0	76.70009	80.12502	79.1038	[76.70009..80.12502]	Sum	[87.26214..87.26214]	[92.13882..92.13882]	[89.60383..89.60383]	[87.26214..92.13882]	
					PC 14:1-17:0	[87.26214..87.26214]	[92.13882..92.13882]	[89.60383..89.60383]	[87.26214..92.13882]	
PC 32:0:0	79.04069	83.03376	82.43215	[79.04069..83.03376]	Sum	[98.745766..98.745766]	[105.09509..105.09509]	[101.653984..101.653984]	[98.745766..105.09509]	
					PC 14:0-18:0	[98.49505..98.49505]	[104.64578..104.64578]	[101.29372..101.29372]	[98.49505..104.64578]	
					PC 16:0/16:0	[0.25071546..0.25071546]	[0.4493131..0.4493131]	[0.36026517..0.36026517]	[0.25071546..0.4493131]	
PC 34:0:0	94.599014	99.04744	97.5679	[94.599014..99.04744]	Sum	[113.93183..113.93183]	[124.1723..124.1723]	[119.97719..119.97719]	[113.93183..124.1723]	
					PC 16:0-18:0	[58.12173..58.12173]	[63.165283..63.165283]	[61.540867..61.540867]	[58.12173..63.165283]	
					PC 17:0/17:0	[55.810104..55.810104]	[61.00701..61.00701]	[58.43632..58.43632]	[55.810104..61.00701]	
