Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PC 24:0:0	199.17	20180509_PC_brain_01.mzXML	25.0	841441.3	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.082..1.082]	[910439.5..910439.5]	[0.5..0.5]	[0.5..0.5]	[1.082..1.082]	[910439.5..910439.5]	[0.5..0.5]	[0.5..0.5]	1.004296	[914350.75..914350.75]
Group-1	PC 24:0:0	199.17	20180509_PC_brain_01.mzXML	30.0	915957.4	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.155..1.155]	[1057930.8..1057930.8]	[0.5..0.5]	[0.5..0.5]	[1.155..1.155]	[1057930.8..1057930.8]	[0.5..0.5]	[0.5..0.5]	1.004296	[1062475.5..1062475.5]
Group-1	PC 24:0:0	199.17	20180509_PC_brain_01.mzXML	35.0	803916.8	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.187..1.187]	[954249.4..954249.4]	[0.5..0.5]	[0.5..0.5]	[1.187..1.187]	[954249.3..954249.3]	[0.5..0.5]	[0.5..0.5]	1.004296	[958348.7..958348.7]
Group-1	PC 25:0:0	199.17	20180509_PC_brain_01.mzXML	25.0	239160.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.088..1.095]	[260206.86..261880.98]	[0.271..0.271]	[0.0..0.0]	[1.088..1.088]	[260206.86..260206.86]	[0.269..0.269]	[0.0..0.0]	0.98652405	[256700.31..258351.88]
Group-1	PC 25:0:0	199.17	20180509_PC_brain_01.mzXML	30.0	273912.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.149..1.152]	[314725.47..315547.2]	[0.287..0.288]	[0.0..0.0]	[1.149..1.149]	[314725.47..314725.47]	[0.287..0.287]	[0.0..0.0]	0.98652405	[310484.25..311294.9]
Group-1	PC 25:0:0	199.17	20180509_PC_brain_01.mzXML	35.0	256409.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.172..1.176]	[300512.2..301537.8]	[0.303..0.303]	[0.0..0.0]	[1.172..1.172]	[300512.2..300512.2]	[0.302..0.302]	[0.0..0.0]	0.98652405	[296462.5..297474.3]
Group-1	PC 25:0:0	213.18	20180509_PC_brain_01.mzXML	25.0	661672.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.057..1.067]	[699388.06..706004.75]	[0.729..0.729]	[1.0..1.0]	[1.067..1.067]	[706004.75..706004.75]	[0.731..0.731]	[1.0..1.0]	0.98652405	[689963.1..696490.7]
Group-1	PC 25:0:0	213.18	20180509_PC_brain_01.mzXML	30.0	706245.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.102..1.108]	[778282.9..782520.4]	[0.712..0.713]	[1.0..1.0]	[1.108..1.108]	[782520.4..782520.4]	[0.713..0.713]	[1.0..1.0]	0.98652405	[767794.8..771975.2]
Group-1	PC 25:0:0	213.18	20180509_PC_brain_01.mzXML	35.0	617208.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.12..1.125]	[691273.7..694359.7]	[0.697..0.697]	[1.0..1.0]	[1.125..1.125]	[694359.7..694359.7]	[0.698..0.698]	[1.0..1.0]	0.98652405	[681958.06..685002.5]
Group-1	PC 30:0:0	227.2	20180509_PC_brain_01.mzXML	25.0	8756.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.033..1.042]	[9045.671..9124.482]	[0.47..0.472]	[0.38..0.43]	[1.036..1.037]	[9071.941..9080.697]	[0.471..0.471]	[0.381..0.43]	0.9069271	[8203.765..8275.24]
