Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
PC 32:0:0	0.42688018	0.42521927	0.4514711	[0.42521927..0.4514711]	Sum	[0.29834947..0.32516223]	[0.3097525..0.34231958]	[0.3183941..0.33273458]	[0.29834947..0.34231958]	
					PC 16:0/16:0	[0.29848132..0.32503915]	[0.30994698..0.34210148]	[0.31867656..0.33245325]	[0.29848132..0.34210148]	
PC 32:1:0	0.97881186	1.0088218	0.99065304	[0.97881186..1.0088218]	Sum	[0.6394904..0.69444394]	[0.6481874..0.66726655]	[0.59168136..0.7068344]	[0.59168136..0.7068344]	
					PC 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 14:0/18:1	[0.15106674..0.15861087]	[0.14779933..0.15901862]	[0.13416591..0.16584243]	[0.13416591..0.16584243]	
					PC 16:0/16:1	[0.473471..0.54143196]	[0.4909123..0.51481605]	[0.45567313..0.54374015]	[0.45567313..0.54374015]	
					PC 16:1/16:0	[0.0..0.0075800475]	[0.0..0.0015444482]	[0.0..0.0]	[0.0..0.0075800475]	
PC 32:2:0	0.13968603	0.12212872	0.14753935	[0.12212872..0.14753935]	Sum	[0.07986884..0.093128756]	[0.07771693..0.09123236]	[0.08965225..0.09919071]	[0.07771693..0.09919071]	
					PC 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 14:0/18:2	[0.06847931..0.078817904]	[0.064602464..0.07850218]	[0.074287035..0.08101434]	[0.064602464..0.08101434]	
					PC 16:1/16:1	[0.011423447..0.0145575395]	[0.0122941..0.01330781]	[0.014953307..0.018093346]	[0.011423447..0.018093346]	
