Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
PE 32:0:0	0.011853171	-3.8959142E-6	0.0024914453	[-3.8959142E-6..0.011853171]	Sum	[0.31668606..0.31668606]	[0.33815333..0.33815333]	[0.35750756..0.35750756]	[0.31668606..0.35750756]	
					PE 14:0-18:0	[0.13459088..0.13459088]	[0.14617552..0.14617552]	[0.1563214..0.1563214]	[0.13459088..0.1563214]	
					PE 16:0/16:0	[0.18209532..0.18209532]	[0.19197778..0.19197778]	[0.20118614..0.20118614]	[0.18209532..0.20118614]	
PE 32:1:0	0.7438665	0.81309116	0.797024	[0.7438665..0.81309116]	Sum	[0.58683085..0.58683085]	[0.66365606..0.66365606]	[0.6194832..0.6194832]	[0.58683085..0.66365606]	
					PE 14:0-18:1	[0.05459858..0.05459858]	[0.06508348..0.06508348]	[0.05884423..0.05884423]	[0.05459858..0.06508348]	
					PE 16:0-16:1	[0.5322325..0.5322325]	[0.5985725..0.5985725]	[0.5606389..0.5606389]	[0.5322325..0.5985725]	
PE 34:2:0	12.551742	13.444132	13.196228	[12.551742..13.444132]	Sum	[9.651508..9.651508]	[9.347465..9.347465]	[8.531475..8.531475]	[8.531475..9.651508]	
					PE 16:1-18:1	[0.5201779..0.5201779]	[0.5011973..0.5011973]	[0.44426098..0.44426098]	[0.44426098..0.5201779]	
					PE 16:0-18:2	[9.131334..9.131334]	[8.846267..8.846267]	[8.087213..8.087213]	[8.087213..9.131334]	
PE 34:3:0	0.3962745	0.4095704	0.42366946	[0.3962745..0.42366946]	Sum	[0.26925096..0.26925096]	[0.2921907..0.2921907]	[0.27929413..0.27929413]	[0.26925096..0.2921907]	
					PE 16:1-18:2	[0.13257915..0.13257915]	[0.14080834..0.14080834]	[0.1358043..0.1358043]	[0.13257915..0.14080834]	
					PE 16:0-18:3 (0z-9z)	[0.13667193..0.13667193]	[0.15138231..0.15138231]	[0.14348984..0.14348984]	[0.13667193..0.15138231]	
PE 36:1:0	25.491503	24.197403	24.689045	[24.197403..25.491503]	Sum	[22.903559..22.903559]	[21.971565..21.971565]	[23.680433..23.680433]	[21.971565..23.680433]	
					PE 16:0-20:1	[0.38994163..0.38994163]	[0.40526715..0.40526715]	[0.47489497..0.47489497]	[0.38994163..0.47489497]	
					PE 18:0-18:1	[22.513624..22.513624]	[21.566296..21.566296]	[23.205538..23.205538]	[21.566296..23.205538]	
PE 36:2:0	22.208408	22.343775	22.133564	[22.133564..22.343775]	Sum	[16.149061..16.149061]	[15.433953..15.433953]	[15.455958..15.455958]	[15.433953..16.149061]	
					PE 16:0-20:2	[0.33577496..0.33577496]	[0.34571645..0.34571645]	[0.32115966..0.32115966]	[0.32115966..0.34571645]	
					PE 18:0-18:2	[11.781701..11.781701]	[11.240112..11.240112]	[11.27305..11.27305]	[11.240112..11.781701]	
					PE 18:1/18:1	[4.03159..4.03159]	[3.8481216..3.8481216]	[3.8617477..3.8617477]	[3.8481216..4.03159]	
PE 36:3:0	1.9210272	2.0554094	2.0609338	[1.9210272..2.0609338]	Sum	[2.611838..2.611838]	[2.7988567..2.7988567]	[2.6894865..2.6894865]	[2.611838..2.7988567]	
					PE 16:0-20:3 (0z-11z)	[0.28935865..0.28935865]	[0.30736792..0.30736792]	[0.2794862..0.2794862]	[0.2794862..0.30736792]	
					PE 18:0-18:3 (0z-9z)	[0.14875917..0.14875917]	[0.15900826..0.15900826]	[0.16417845..0.16417845]	[0.14875917..0.16417845]	
					PE 18:1-18:2	[2.1737213..2.1737213]	[2.3324802..2.3324802]	[2.2458217..2.2458217]	[2.1737213..2.3324802]	
PE 36:4:0	5.8496346	6.3003483	6.0879154	[5.8496346..6.3003483]	Sum	[2.117747..2.117747]	[2.177627..2.177627]	[2.1173942..2.1173942]	[2.1173942..2.177627]	
					PE 16:0-20:4 (0z-8z)	[1.9282565..1.9282565]	[1.9794881..1.9794881]	[1.9316822..1.9316822]	[1.9282565..1.9794881]	
					PE 18:1-18:3 (0z-9z)	[0.035766296..0.035766296]	[0.03623336..0.03623336]	[0.038258903..0.038258903]	[0.035766296..0.038258903]	
					PE 18:2/18:2	[0.1537251..0.1537251]	[0.16190559..0.16190559]	[0.14745308..0.14745308]	[0.14745308..0.16190559]	
PE 36:5:0	0.069316514	0.08817501	0.0856439	[0.069316514..0.08817501]	Sum	[0.07765897..0.07765897]	[0.10447759..0.10447759]	[0.10655143..0.10655143]	[0.07765897..0.10655143]	
					PE 14:0-22:5 (0z-7z)	[0.0019082236..0.0019082236]	[0.0019973707..0.0019973707]	[0.0012570998..0.0012570998]	[0.0012570998..0.0019973707]	
