Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
PE 32:0:0	0.011853171	-3.8959142E-6	0.0024914453	[-3.8959142E-6..0.011853171]	Sum	[0.22171293..0.28349167]	[0.2621246..0.3058034]	[0.2414458..0.32535324]	[0.22171293..0.32535324]	
					PE 18:0/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 14:0/18:0	[0.0807804..0.11756757]	[0.09688029..0.12848222]	[0.09657758..0.13829719]	[0.0807804..0.13829719]	
					PE 16:0/16:0	[0.14202423..0.16461998]	[0.16747724..0.17470628]	[0.14711818..0.1841466]	[0.14202423..0.1841466]	
PE 32:1:0	0.7438665	0.81309116	0.797024	[0.7438665..0.81309116]	Sum	[0.5007485..0.52835983]	[0.54295474..0.6027349]	[0.559246..0.59383154]	[0.5007485..0.6027349]	
					PE 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 14:0/18:1	[0.045102198..0.047454044]	[0.048785135..0.056932557]	[0.049874313..0.05406008]	[0.045102198..0.056932557]	
					PE 16:0/16:1	[0.37229142..0.47023627]	[0.44246587..0.5404118]	[0.43934783..0.52970105]	[0.37229142..0.5404118]	
					PE 16:1/16:0	[0.011789984..0.086419195]	[0.005505797..0.063385]	[0.0030510265..0.0724742]	[0.0030510265..0.086419195]	
PE 34:2:0	12.551742	13.444132	13.196228	[12.551742..13.444132]	Sum	[7.5787554..8.946812]	[8.134363..8.756993]	[7.968503..8.584498]	[7.5787554..8.946812]	
					PE 18:1/16:1	[0.01773897..0.027552657]	[8.284569E-4..0.04393441]	[0.0050685853..0.071425155]	[8.284569E-4..0.071425155]	
					PE 16:1/18:1	[0.39617032..0.42573297]	[0.37197712..0.42986804]	[0.3251692..0.42467847]	[0.3251692..0.42986804]	
					PE 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/18:2	[7.2017865..8.456895]	[7.793146..8.246815]	[7.6457934..8.093398]	[7.2017865..8.456895]	
PE 34:3:0	0.3962745	0.4095704	0.42366946	[0.3962745..0.42366946]	Sum	[0.23589519..0.3348483]	[0.25073916..0.35279378]	[0.19620325..0.36492404]	[0.19620325..0.36492404]	
					PE 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:1/18:2	[0.12046342..0.13021848]	[0.12596029..0.13459812]	[0.12277842..0.12810773]	[0.12046342..0.13459812]	
					PE 18:3 (6z-9z)/16:0	[0.019414201..0.06142991]	[0.031663988..0.08028267]	[0.019549642..0.09985105]	[0.019414201..0.09985105]	
					PE 16:0/18:3 (6z-9z)	[0.09254588..0.14551838]	[0.08790301..0.14512637]	[0.049598165..0.14206314]	[0.049598165..0.14551838]	
PE 36:1:0	25.491503	24.197403	24.689045	[24.197403..25.491503]	Sum	[18.53375..19.470478]	[18.67436..20.17352]	[18.779264..20.472132]	[18.53375..20.472132]	
					PE 20:1/16:0	[0.12957758..0.18704201]	[0.18268278..0.33077738]	[0.2282342..0.32022855]	[0.12957758..0.33077738]	
					PE 16:0/20:1	[0.12126397..0.17764126]	[0.05241402..0.16119911]	[0.07884454..0.15991184]	[0.05241402..0.17764126]	
					PE 18:0/18:1	[18.128923..19.20546]	[18.369278..19.685612]	[18.312225..20.003414]	[18.128923..20.003414]	
					PE 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 36:2:0	22.208408	22.343775	22.133564	[22.133564..22.343775]	Sum	[14.02883..15.184891]	[13.765429..14.301629]	[13.170716..14.199773]	[13.170716..15.184891]	
					PE 20:2/16:0	[0.023304041..0.092944756]	[0.030413069..0.07607896]	[0.02910144..0.05761339]	[0.023304041..0.092944756]	
