Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
PE 32:0:0	0.012652836	-4.1407543E-6	0.002665074	[-4.1407543E-6..0.012652836]	Sum	[0.34449816..0.436693]	[0.42449188..0.4809296]	[0.37255192..0.47923225]	[0.34449816..0.4809296]	
					PE 18:0/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 14:0/18:0	[0.1249018..0.18251519]	[0.15556544..0.19478092]	[0.14764377..0.20618555]	[0.1249018..0.20618555]	
					PE 16:0/16:0	[0.21959636..0.2607073]	[0.2587268..0.28616455]	[0.22490814..0.28143016]	[0.21959636..0.28616455]	
PE 32:1:0	0.7940509	0.86419016	0.8525686	[0.7940509..0.86419016]	Sum	[0.7780643..0.8474876]	[0.88513696..0.9279189]	[0.8325544..0.9579534]	[0.7780643..0.9579534]	
					PE 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 14:0/18:1	[0.06973654..0.07653517]	[0.08103855..0.08520716]	[0.07610454..0.0877569]	[0.06973654..0.0877569]	
					PE 16:0/16:1	[0.5829323..0.750989]	[0.706703..0.82986945]	[0.6515378..0.8649994]	[0.5829323..0.8649994]	
					PE 16:1/16:0	[0.018460708..0.13801543]	[0.008793816..0.09733555]	[0.0045245676..0.11835003]	[0.0045245676..0.13801543]	
PE 33:1:0	0.13993746	0.14227502	0.14055671	[0.13993746..0.14227502]	Sum	[1.0155498..1.0999812]	[1.0370445..1.1822544]	[1.0130761..1.1803329]	[1.0130761..1.1822544]	
					PE 18:1/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 15:0/18:1	[0.74392945..0.7884855]	[0.73546743..0.8363536]	[0.731845..0.8369213]	[0.731845..0.8369213]	
					PE 17:0/16:1	[0.08340372..0.098125845]	[0.08661167..0.10517914]	[0.08794509..0.100729905]	[0.08340372..0.10517914]	
					PE 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/17:1	[0.0..0.024196412]	[0.0..0.0187799]	[0.0..0.025970347]	[0.0..0.025970347]	
					PE 17:1/16:0	[0.171332..0.21603939]	[0.18916565..0.24076796]	[0.17752443..0.24271353]	[0.171332..0.24271353]	
PE 34:1:0	40.8	40.8	40.8	[40.8..40.8]	Sum	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	
					PE 18:0/16:1	[0.41954488..0.6442331]	[0.38678604..0.6840803]	[0.3594856..0.62912107]	[0.3594856..0.6840803]	
					PE 16:1/18:0	[0.1638369..0.370475]	[0.081360675..0.31386295]	[0.110610954..0.35949776]	[0.081360675..0.370475]	
					PE 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/18:1	[39.958973..40.03228]	[40.017902..40.167034]	[40.053463..40.120712]	[39.958973..40.167034]	
PE 34:2:0	13.398535	14.289033	14.115873	[13.398535..14.289033]	Sum	[11.775889..13.752426]	[12.857554..13.636609]	[12.071974..13.824896]	[11.775889..13.824896]	
					PE 18:1/16:1	[0.027775604..0.043134283]	[0.001289528..0.07042183]	[0.0075165383..0.11074831]	[0.001289528..0.11074831]	
					PE 16:1/18:1	[0.61366117..0.66649425]	[0.5789981..0.68902934]	[0.4822148..0.6584855]	[0.4822148..0.68902934]	
					PE 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/18:2	[11.135325..13.059436]	[12.21291..12.946161]	[11.493855..13.157737]	[11.135325..13.157737]	
PE 34:3:0	0.42300886	0.43530998	0.45319498	[0.42300886..0.45319498]	Sum	[0.36530128..0.5456718]	[0.37817994..0.586303]	[0.3008165..0.58847207]	[0.3008165..0.58847207]	
					PE 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:1/18:2	[0.18625925..0.21022837]	[0.19555734..0.22208199]	[0.18769851..0.20073526]	[0.18625925..0.22208199]	
					PE 18:3 (6z-9z)/16:0	[0.030228823..0.09957203]	[0.04835288..0.12972693]	[0.030240294..0.16004308]	[0.030228823..0.16004308]	
					PE 16:0/18:3 (6z-9z)	[0.1440983..0.23587143]	[0.13423337..0.23450635]	[0.07672075..0.22770134]	[0.07672075..0.23587143]	
PE 36:1:0	27.21127	25.718096	26.409624	[25.718096..27.21127]	Sum	[28.881664..31.215605]	[27.725252..33.3632]	[28.922834..31.962187]	[27.725252..33.3632]	
					PE 20:1/16:0	[0.20898624..0.29163274]	[0.295494..0.5494649]	[0.36096215..0.48438415]	[0.20898624..0.5494649]	
					PE 16:0/20:1	[0.19557784..0.27697524]	[0.084781..0.267773]	[0.12469601..0.2418859]	[0.084781..0.27697524]	
					PE 18:0/18:1	[28.386194..30.753263]	[27.208576..32.700397]	[28.3262..31.34982]	[27.208576..32.700397]	
					PE 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 36:2:0	23.70668	23.747976	23.676054	[23.676054..23.747976]	Sum	[21.79803..24.424807]	[20.580025..23.447031]	[20.32247..22.888493]	[20.32247..24.424807]	
					PE 20:2/16:0	[0.03648937..0.1506546]	[0.04935198..0.113862306]	[0.04365396..0.09408241]	[0.03648937..0.1506546]	
					PE 16:0/20:2	[0.2756975..0.42842406]	[0.31382796..0.39273602]	[0.32969135..0.4067814]	[0.2756975..0.42842406]	
					PE 18:0/18:2	[16.380198..18.334639]	[15.363085..17.417316]	[15.099357..17.00319]	[15.099357..18.334639]	
					PE 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:1/18:1	[5.0251236..5.6195874]	[4.771195..5.6011567]	[4.799988..5.4310055]	[4.771195..5.6195874]	
PE 36:3:0	2.0506277	2.1845822	2.2045603	[2.0506277..2.2045603]	Sum	[3.6269934..4.457181]	[3.7208471..4.457718]	[3.526457..4.22499]	[3.526457..4.457718]	
					PE 20:3 (5z-11z)/16:0	[0.0..0.10080231]	[0.0..0.1488461]	[0.0..0.10972161]	[0.0..0.1488461]	
					PE 16:0/20:3 (5z-11z)	[0.37160063..0.5964634]	[0.32309353..0.5953844]	[0.33573255..0.55136484]	[0.32309353..0.5964634]	
					PE 18:0/18:3 (6z-9z)	[0.09863615..0.20222001]	[0.10442273..0.20200871]	[0.077353664..0.21068472]	[0.077353664..0.21068472]	
					PE 18:3 (6z-9z)/18:0	[0.057715163..0.1559448]	[0.06651753..0.15899862]	[0.0647837..0.19571805]	[0.057715163..0.19571805]	
					PE 18:1/18:2	[2.9533865..3.3949475]	[3.1019037..3.4092224]	[2.9183767..3.1792421]	[2.9183767..3.4092224]	
					PE 18:2/18:1	[0.006198083..0.15988228]	[0.048116393..0.1142176]	[0.0..0.12716968]	[0.0..0.15988228]	
PE 36:4:0	6.2442765	6.6962953	6.5121827	[6.2442765..6.6962953]	Sum	[5.6055093..6.302721]	[5.5840178..7.15925]	[5.4469156..6.403811]	[5.4469156..7.15925]	
					PE 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/20:4 (5z-8z)	[5.350159..6.0188856]	[5.3214827..6.869565]	[5.1945305..6.082359]	[5.1945305..6.869565]	
					PE 18:1/18:3 (6z-9z)	[0.021884043..0.050195068]	[0.020564195..0.056490004]	[0.023892712..0.046872392]	[0.020564195..0.056490004]	
					PE 18:3 (6z-9z)/18:1	[0.011992013..0.038720075]	[0.015758432..0.049723797]	[0.01818043..0.0395858]	[0.011992013..0.049723797]	
					PE 18:2/18:2	[0.20641606..0.2298687]	[0.22518113..0.26202935]	[0.2065249..0.23523366]	[0.20641606..0.26202935]	
PE 36:5:0	0.07399289	0.0937164	0.09161243	[0.07399289..0.0937164]	Sum	[0.11262042..0.1500066]	[0.14716958..0.18891074]	[0.12727332..0.20563997]	[0.11262042..0.20563997]	
					PE 22:5 (4z-7z)/14:0	[0.0..0.0026870207]	[0.0..0.007408268]	[0.0..0.006481911]	[0.0..0.007408268]	
