Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 30:0:0	0.040758036	0.058146637	0.04925853	0.054510944	[0.040758036..0.058146637]	Sum	[0.030055357..0.030055357]	[0.029907785..0.029907785]	[0.031107754..0.031107754]	[0.029927582..0.029927582]	[0.029907785..0.031107754]	
						PG 14:0-16:0	[0.029655363..0.029655363]	[0.029544517..0.029544517]	[0.030668458..0.030668458]	[0.029537085..0.029537085]	[0.029537085..0.030668458]	
						PG 15:0/15:0	[4.0000194E-4..4.0000194E-4]	[3.6325736E-4..3.6325736E-4]	[4.3929621E-4..4.3929621E-4]	[3.904929E-4..3.904929E-4]	[3.6325736E-4..4.3929621E-4]	
PG 30:1:0	0.026734127	0.0	0.0	0.024001457	[0.0..0.026734127]	Sum	[0.013187109..0.013187109]	[0.013949238..0.013949238]	[0.015073613..0.015073613]	[0.013034035..0.013034035]	[0.013034035..0.015073613]	
						PG 12:0-18:1	[0.0013945465..0.0013945465]	[0.0015541514..0.0015541514]	[0.0017312914..0.0017312914]	[0.0014237481..0.0014237481]	[0.0013945465..0.0017312914]	
						PG 14:1-16:0	[0.0056303735..0.0056303735]	[0.0062264153..0.0062264153]	[0.007130472..0.007130472]	[0.005532988..0.005532988]	[0.005532988..0.007130472]	
						PG 14:0-16:1	[0.0061621927..0.0061621927]	[0.0061686644..0.0061686644]	[0.0062118494..0.0062118494]	[0.0060772966..0.0060772966]	[0.0060772966..0.0062118494]	
PG 31:0:0	0.025784194	0.0	0.0	0.029900307	[0.0..0.029900307]	Sum	[0.04794365..0.04794365]	[0.05014731..0.05014731]	[0.050452147..0.050452147]	[0.049153943..0.049153943]	[0.04794365..0.050452147]	
						PG 14:0-17:0	[4.8560163E-4..4.8560163E-4]	[5.4951943E-4..5.4951943E-4]	[5.405985E-4..5.405985E-4]	[4.8475427E-4..4.8475427E-4]	[4.8475427E-4..5.4951943E-4]	
						PG 15:0-16:0	[0.047458064..0.047458064]	[0.04959777..0.04959777]	[0.04991155..0.04991155]	[0.04866918..0.04866918]	[0.047458064..0.04991155]	
