Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 30:0:0	0.040758036	0.058146637	0.04925853	0.054510944	[0.040758036..0.058146637]	Sum	[0.02988834..0.031055111]	[0.027591435..0.030523721]	[0.029168604..0.031762376]	[0.027683746..0.030571697]	[0.027591435..0.031762376]	
						PG 16:0/14:0	[0.015278262..0.016285788]	[0.013042083..0.015820652]	[0.01325194..0.01584023]	[0.013833839..0.015995674]	[0.013042083..0.016285788]	
						PG 14:0/16:0	[0.0136137055..0.014603123]	[0.012904799..0.015671402]	[0.014181903..0.016830247]	[0.012810135..0.01489355]	[0.012810135..0.016830247]	
						PG 15:0/15:0	[3.9169332E-4..4.2183732E-4]	[2.9758422E-4..3.78721E-4]	[3.2897166E-4..4.5808914E-4]	[2.2948436E-4..4.0703604E-4]	[2.2948436E-4..4.5808914E-4]	
PG 30:1:0	0.026734127	0.0	0.0	0.024001457	[0.0..0.026734127]	Sum	[0.012440716..0.013462405]	[0.012223968..0.0140449]	[0.012735536..0.015165668]	[0.0120039685..0.013267303]	[0.0120039685..0.015165668]	
						PG 18:1/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 12:0/18:1	[0.0012154637..0.0013361237]	[0.0013768303..0.001479604]	[0.0013928303..0.0016399352]	[0.0012011804..0.001355985]	[0.0012011804..0.0016399352]	
						PG 16:0/14:1	[0.002487739..0.0034317095]	[0.0022796106..0.0032727094]	[0.0017857308..0.0032201188]	[0.0026899816..0.003818001]	[0.0017857308..0.003818001]	
						PG 14:1/16:0	[0.0020826373..0.0029848428]	[0.0024859102..0.0035254285]	[0.0032271543..0.0049994686]	[0.001582342..0.0025603068]	[0.001582342..0.0049994686]	
						PG 16:1/14:0	[5.94179E-4..8.1675226E-4]	[4.6825886E-4..6.589566E-4]	[5.716917E-4..7.0063316E-4]	[2.6951014E-4..6.6642166E-4]	[2.6951014E-4..8.1675226E-4]	
						PG 14:0/16:1	[0.005221573..0.0056607216]	[0.005173971..0.00576744]	[0.0049826857..0.0056681857]	[0.0052202945..0.0058327178]	[0.0049826857..0.0058327178]	
PG 31:0:0	0.025784194	0.0	0.0	0.029900307	[0.0..0.029900307]	Sum	[0.04231638..0.049342163]	[0.041543245..0.050480578]	[0.04268456..0.05082863]	[0.040522657..0.049528044]	[0.040522657..0.05082863]	
						PG 17:0/14:0	[2.2627052E-4..3.23281E-4]	[2.9822576E-4..4.812941E-4]	[2.1915718E-4..4.0152558E-4]	[2.588916E-4..3.8155395E-4]	[2.1915718E-4..4.812941E-4]	
						PG 14:0/17:0	[1.6310516E-4..2.475201E-4]	[5.8842743E-5..1.8353495E-4]	[1.0462478E-4..2.4386132E-4]	[9.321792E-5..1.9028781E-4]	[5.8842743E-5..2.475201E-4]	
						PG 16:0/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/16:0	[0.042088248..0.04861946]	[0.04124375..0.04977727]	[0.042474963..0.050103977]	[0.040256474..0.048838533]	[0.040256474..0.050103977]	
PG 32:0:0	1.5732057	1.527058	1.6051594	1.5237985	[1.5237985..1.6051594]	Sum	[0.7767327..0.8267931]	[0.70246446..0.8236342]	[0.756363..0.8516325]	[0.7257969..0.794765]	[0.70246446..0.8516325]	
						PG 18:0/14:0	[2.3281152E-4..0.0014177846]	[3.277441E-4..0.0060858997]	[0.0011466732..0.0039442875]	[4.5380503E-4..0.005733762]	[2.3281152E-4..0.0060858997]	
						PG 14:0/18:0	[0.0028900746..0.0047698324]	[0.0..0.0042114425]	[0.0023985459..0.005669913]	[0.0..0.0032395753]	[0.0..0.005669913]	
						PG 16:0/16:0	[0.77512276..0.8183585]	[0.70384514..0.8149493]	[0.75408804..0.84142995]	[0.72830707..0.7858647]	[0.70384514..0.84142995]	
PG 32:1:0	2.8268137	2.8429682	2.8353355	2.8206487	[2.8206487..2.8429682]	Sum	[1.4254111..1.4676275]	[1.3710529..1.452417]	[1.3738668..1.4530742]	[1.3611149..1.4490991]	[1.3611149..1.4676275]	
						PG 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:0/18:1	[0.23746201..0.24536073]	[0.22606213..0.25446808]	[0.2244022..0.23745227]	[0.22924042..0.24514306]	[0.2244022..0.25446808]	
						PG 16:0/16:1	[1.1324602..1.2308254]	[1.0814818..1.2158169]	[1.1021156..1.2186059]	[1.0775387..1.2073815]	[1.0775387..1.2308254]	
						PG 16:1/16:0	[0.0..0.04923302]	[0.0..0.05957502]	[0.0..0.031683754]	[0.0..0.04829526]	[0.0..0.05957502]	
PG 32:2:0	0.23614988	0.22814745	0.20479675	0.21439831	[0.20479675..0.23614988]	Sum	[0.1120628..0.124597445]	[0.113898925..0.11752686]	[0.111223035..0.123996146]	[0.113726966..0.118292004]	[0.111223035..0.124597445]	
						PG 18:1/14:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:1/18:1	[0.002938872..0.0033634338]	[0.0029254658..0.0033246016]	[0.0030717722..0.0037489717]	[0.003232045..0.0033552016]	[0.0029254658..0.0037489717]	
						PG 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:0/18:2	[0.07638199..0.08283351]	[0.07591687..0.078812465]	[0.07434029..0.081614524]	[0.07747424..0.07880525]	[0.07434029..0.08283351]	
						PG 16:0/16:2	[0.0072291843..0.011831058]	[0.0066205147..0.010406457]	[0.0064639295..0.011599874]	[0.007059188..0.011673893]	[0.0064639295..0.011831058]	
						PG 16:2/16:0	[0.0013154192..0.004783338]	[0.0020440696..0.0052920645]	[0.0023814477..0.006752165]	[8.972628E-4..0.0044174925]	[8.972628E-4..0.006752165]	
						PG 16:1/16:1	[0.022153076..0.024502238]	[0.022004852..0.0238333]	[0.022039473..0.024040738]	[0.022429725..0.023112742]	[0.022004852..0.024502238]	
PG 33:0:0	0.036277127	0.038257707	0.038979534	0.042934958	[0.036277127..0.042934958]	Sum	[0.023323148..0.026886968]	[0.022454688..0.027276685]	[0.023926478..0.028101046]	[0.022420267..0.026153928]	[0.022420267..0.028101046]	
						PG 18:0/15:0	[0.0..3.1086424E-4]	[0.0..2.5737047E-4]	[0.0..0.0]	[2.8478215E-5..1.1618734E-4]	[0.0..3.1086424E-4]	
						PG 15:0/18:0	[0.0020964565..0.0029052733]	[0.0023054893..0.002828247]	[0.0027025857..0.003344014]	[0.0022687644..0.0026089337]	[0.0020964565..0.003344014]	
						PG 17:0/16:0	[0.008054149..0.010593079]	[0.0079152305..0.010316818]	[0.008338994..0.011956713]	[0.007130915..0.00947269]	[0.007130915..0.011956713]	
						PG 16:0/17:0	[0.011678517..0.014627414]	[0.011491147..0.014607457]	[0.010911434..0.014878924]	[0.011952386..0.01497147]	[0.010911434..0.01497147]	
PG 33:1:0	0.3576424	0.33418772	0.33699772	0.32240722	[0.32240722..0.3576424]	Sum	[0.24376217..0.24926674]	[0.23321751..0.25233498]	[0.23204038..0.25651237]	[0.23013994..0.2579947]	[0.23013994..0.2579947]	
						PG 18:1/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/18:1	[0.13011171..0.13333073]	[0.12547463..0.13696103]	[0.12324847..0.13940859]	[0.12688054..0.13888265]	[0.12324847..0.13940859]	
						PG 17:0/16:1	[0.0057407664..0.006395353]	[0.006298291..0.0068958006]	[0.006118651..0.0071758972]	[0.0058668675..0.0070769363]	[0.0057407664..0.0071758972]	
						PG 16:1/17:0	[5.0555996E-4..9.4822864E-4]	[1.9702684E-5..2.8357856E-4]	[0.0..6.4583076E-4]	[7.2268245E-5..7.656543E-4]	[0.0..9.4822864E-4]	
						PG 17:1/16:0	[0.013170668..0.01894048]	[0.015129123..0.019356787]	[0.009732761..0.020166853]	[0.008398368..0.017909132]	[0.008398368..0.020166853]	
						PG 16:0/17:1	[0.08917189..0.09557324]	[0.08392575..0.09213398]	[0.084592186..0.09984246]	[0.08299563..0.10241785]	[0.08299563..0.10241785]	
PG 33:2:0	0.13220844	0.14872426	0.13845679	0.16347624	[0.13220844..0.16347624]	Sum	[0.16132489..0.16881908]	[0.15701829..0.17064339]	[0.15890324..0.17407325]	[0.15604062..0.17256412]	[0.15604062..0.17407325]	
						PG 18:1/15:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:1/18:1	[0.04110099..0.042849947]	[0.03953203..0.042696796]	[0.0407229..0.04348594]	[0.041257985..0.04450902]	[0.03953203..0.04450902]	
						PG 18:2/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/18:2	[0.10832496..0.11254726]	[0.10519061..0.11341303]	[0.10578899..0.11478419]	[0.10294171..0.11395909]	[0.10294171..0.11478419]	
						PG 17:1/16:1	[0.0023033975..0.0027028965]	[0.0019476002..0.0027199339]	[0.002326509..0.0030591004]	[0.002299284..0.0028442754]	[0.0019476002..0.0030591004]	
						PG 16:1/17:1	[0.0014045107..0.0017714369]	[0.0015816628..0.002319289]	[9.475518E-4..0.0016066362]	[0.0012423232..0.0017314787]	[9.475518E-4..0.002319289]	
						PG 17:2/16:0	[0.0032593368..0.00395217]	[0.0045494074..0.0059487224]	[0.005465048..0.008250033]	[0.0041688783..0.0051463186]	[0.0032593368..0.008250033]	
						PG 16:0/17:2	[0.004563072..0.005272417]	[0.0033987795..0.0046933102]	[0.0023235749..0.0045320177]	[0.0040640007..0.005030887]	[0.0023235749..0.005272417]	
PG 34:2:0	40.817677	40.29445	40.126663	40.393803	[40.126663..40.817677]	Sum	[21.009727..22.169348]	[20.424856..22.137436]	[18.08063..21.748192]	[20.236578..22.07957]	[18.08063..22.169348]	
						PG 18:1/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.012381955]	[0.0..0.052762643]	[0.0..0.052762643]	
						PG 16:1/18:1	[1.1167507..1.3465394]	[1.1125766..1.2565027]	[1.0773959..1.2381957]	[1.1751066..1.2562534]	[1.0773959..1.3465394]	
						PG 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:0/18:2	[19.977392..20.71873]	[19.37767..20.811974]	[17.068258..20.408558]	[19.116692..20.728287]	[17.068258..20.811974]	
PG 34:3:0	1.3218759	1.3776245	1.3259012	1.3582466	[1.3218759..1.3776245]	Sum	[0.6852269..0.7578268]	[0.67780733..0.73639756]	[0.6782375..0.7646321]	[0.6697409..0.7228885]	[0.6697409..0.7646321]	
						PG 18:1/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:2/18:1	[0.014266341..0.01849611]	[0.015267505..0.017522112]	[0.01623877..0.020078393]	[0.015765153..0.019112913]	[0.014266341..0.020078393]	
						PG 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:1/18:2	[0.3829079..0.41422695]	[0.37549722..0.39330888]	[0.37210822..0.40823492]	[0.37824222..0.39595547]	[0.37210822..0.41422695]	
						PG 18:3 (6z-9z)/16:0	[0.0..0.0]	[0.0..0.008374471]	[0.0..0.0010148189]	[0.0..0.002507123]	[0.0..0.008374471]	
						PG 16:0/18:3 (6z-9z)	[0.27643228..0.3301838]	[0.2686919..0.32209504]	[0.28233024..0.33827296]	[0.26697847..0.31339037]	[0.26697847..0.33827296]	
PG 34:4:0	0.06788976	0.057925686	0.052552037	0.07079454	[0.052552037..0.07079454]	Sum	[0.028449338..0.03474773]	[0.027453102..0.033296756]	[0.02750549..0.036075346]	[0.028111096..0.033819947]	[0.027453102..0.036075346]	
						PG 20:4 (5z-8z)/14:0	[0.0..0.0]	[0.0..6.1829726E-4]	[0.0..0.001047488]	[0.0..5.3215865E-4]	[0.0..0.001047488]	
						PG 14:0/20:4 (5z-8z)	[0.008162637..0.010575169]	[0.006868857..0.010136019]	[0.006731256..0.010474879]	[0.007628996..0.0102338195]	[0.006731256..0.010575169]	
