Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PC 24:0:0	199.17	20180509_PC_heart_01.mzXML	25.0	443909.2	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.082..1.082]	[480309.75..480309.75]	[0.5..0.5]	[0.5..0.5]	[1.082..1.082]	[480309.75..480309.75]	[0.5..0.5]	[0.5..0.5]	1.004296	[482373.12..482373.12]
Group-1	PC 24:0:0	199.17	20180509_PC_heart_01.mzXML	30.0	481750.7	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.155..1.155]	[556422.0..556422.0]	[0.5..0.5]	[0.5..0.5]	[1.155..1.155]	[556422.0..556422.0]	[0.5..0.5]	[0.5..0.5]	1.004296	[558812.4..558812.4]
Group-1	PC 24:0:0	199.17	20180509_PC_heart_01.mzXML	35.0	420913.3	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.187..1.187]	[499624.12..499624.12]	[0.5..0.5]	[0.5..0.5]	[1.187..1.187]	[499624.12..499624.12]	[0.5..0.5]	[0.5..0.5]	1.004296	[501770.47..501770.47]
Group-1	PC 25:0:0	199.17	20180509_PC_heart_01.mzXML	25.0	114421.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.088..1.095]	[124490.6..125291.55]	[0.271..0.272]	[0.0..0.0]	[1.088..1.088]	[124490.6..124490.6]	[0.27..0.27]	[0.0..0.0]	0.98652405	[122812.97..123603.125]
Group-1	PC 25:0:0	199.17	20180509_PC_heart_01.mzXML	30.0	135338.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.149..1.152]	[155504.05..155910.05]	[0.286..0.286]	[0.0..0.0]	[1.149..1.149]	[155504.05..155504.05]	[0.285..0.285]	[0.0..0.0]	0.98652405	[153408.48..153809.02]
Group-1	PC 25:0:0	199.17	20180509_PC_heart_01.mzXML	35.0	126117.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.172..1.176]	[147809.48..148313.94]	[0.303..0.303]	[0.0..0.0]	[1.172..1.172]	[147809.48..147809.48]	[0.302..0.302]	[0.0..0.0]	0.98652405	[145817.6..146315.27]
Group-1	PC 25:0:0	213.18	20180509_PC_heart_01.mzXML	25.0	315546.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.057..1.067]	[333532.56..336688.03]	[0.728..0.729]	[1.0..1.0]	[1.067..1.067]	[336688.03..336688.03]	[0.73..0.73]	[1.0..1.0]	0.98652405	[329037.9..332150.84]
Group-1	PC 25:0:0	213.18	20180509_PC_heart_01.mzXML	30.0	351616.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.102..1.108]	[387481.2..389590.88]	[0.714..0.714]	[1.0..1.0]	[1.108..1.108]	[389590.88..389590.88]	[0.715..0.715]	[1.0..1.0]	0.98652405	[382259.5..384340.78]
Group-1	PC 25:0:0	213.18	20180509_PC_heart_01.mzXML	35.0	303367.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.12..1.125]	[339771.6..341288.44]	[0.697..0.697]	[1.0..1.0]	[1.125..1.125]	[341288.44..341288.44]	[0.698..0.698]	[1.0..1.0]	0.98652405	[335192.88..336689.25]
Group-1	PC 32:0:0	255.23	20180509_PC_heart_01.mzXML	25.0	35757.5	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[35757.5..35757.5]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[35757.5..35757.5]	[0.5..0.5]	[0.5..0.5]	0.87883294	[31424.87..31424.87]
Group-1	PC 32:0:0	255.23	20180509_PC_heart_01.mzXML	30.0	42581.4	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[42581.4..42581.4]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[42581.4..42581.4]	[0.5..0.5]	[0.5..0.5]	0.87883294	[37421.934..37421.934]
Group-1	PC 32:0:0	255.23	20180509_PC_heart_01.mzXML	35.0	39671.0	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[39671.0..39671.0]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[39671.0..39671.0]	[0.5..0.5]	[0.5..0.5]	0.87883294	[34864.18..34864.18]
Group-1	PC 32:1:0	227.2	20180509_PC_heart_01.mzXML	25.0	481.9	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[1.042..1.042]	[502.14..502.14]	[0.115..0.115]	[0.0..0.0]	[1.042..1.042]	[502.13983..502.13983]	[0.115..0.115]	[0.0..0.0]	0.8807945	[442.28198..442.28198]
Group-1	PC 32:1:0	227.2	20180509_PC_heart_01.mzXML	30.0	437.7	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[1.068..1.068]	[467.464..467.464]	[0.099..0.099]	[0.0..0.0]	[1.068..1.068]	[467.4636..467.4636]	[0.099..0.099]	[0.0..0.0]	0.8807945	[411.73938..411.73938]
Group-1	PC 32:1:0	227.2	20180509_PC_heart_01.mzXML	35.0	519.0	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[1.079..1.079]	[560.001..560.001]	[0.119..0.119]	[0.0..0.0]	[1.079..1.079]	[560.001..560.001]	[0.119..0.119]	[0.0..0.0]	0.8807945	[493.24582..493.24582]
Group-1	PC 32:1:0	253.22	20180509_PC_heart_01.mzXML	25.0	12361.2	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.902..0.981]	[11149.803..12126.338]	[0.654..0.672]	[0.82..0.93]	[0.967..0.975]	[11953.28..12052.171]	[0.669..0.671]	[0.823..0.928]	0.8807945	[9820.686..10680.812]
Group-1	PC 32:1:0	253.22	20180509_PC_heart_01.mzXML	30.0	13917.0	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.912..0.97]	[12692.304..13499.49]	[0.626..0.64]	[0.82..0.93]	[0.96..0.966]	[13360.319..13443.822]	[0.637..0.639]	[0.823..0.928]	0.8807945	[11179.3125..11890.277]
Group-1	PC 32:1:0	253.22	20180509_PC_heart_01.mzXML	35.0	13109.0	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.935..0.969]	[12256.915..12702.621]	[0.621..0.629]	[0.82..0.93]	[0.963..0.967]	[12623.967..12676.403]	[0.627..0.628]	[0.823..0.928]	0.8807945	[10795.823..11188.398]
Group-1	PC 32:1:0	255.23	20180509_PC_heart_01.mzXML	25.0	5908.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[5908.9..5908.9]	[0.328..0.346]	[0.07..0.18]	[1.0..1.0]	[5908.9..5908.9]	[0.329..0.331]	[0.072..0.177]	0.8807945	[5204.527..5204.527]
Group-1	PC 32:1:0	255.23	20180509_PC_heart_01.mzXML	30.0	7599.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[7599.0..7599.0]	[0.36..0.374]	[0.07..0.18]	[1.0..1.0]	[7599.0..7599.0]	[0.361..0.363]	[0.072..0.177]	0.8807945	[6693.1577..6693.1577]
Group-1	PC 32:1:0	255.23	20180509_PC_heart_01.mzXML	35.0	7494.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[7494.2..7494.2]	[0.371..0.379]	[0.07..0.18]	[1.0..1.0]	[7494.2..7494.2]	[0.372..0.373]	[0.072..0.177]	0.8807945	[6600.8506..6600.8506]
Group-1	PC 32:1:0	281.25	20180509_PC_heart_01.mzXML	25.0	3994.2	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.964..0.964]	[3850.409..3850.409]	[0.885..0.885]	[1.0..1.0]	[0.964..0.964]	[3850.4087..3850.4087]	[0.885..0.885]	[1.0..1.0]	0.8807945	[3391.4187..3391.4187]
Group-1	PC 32:1:0	281.25	20180509_PC_heart_01.mzXML	30.0	4601.8	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.926..0.926]	[4261.267..4261.267]	[0.901..0.901]	[1.0..1.0]	[0.926..0.926]	[4261.2666..4261.2666]	[0.901..0.901]	[1.0..1.0]	0.8807945	[3753.3003..3753.3003]
Group-1	PC 32:1:0	281.25	20180509_PC_heart_01.mzXML	35.0	4545.1	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.913..0.913]	[4149.676..4149.676]	[0.881..0.881]	[1.0..1.0]	[0.913..0.913]	[4149.6763..4149.6763]	[0.881..0.881]	[1.0..1.0]	0.8807945	[3655.0122..3655.0122]
Group-1	PC 32:2:0	227.2	20180509_PC_heart_01.mzXML	25.0	1188.4	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[1.042..1.042]	[1238.313..1238.313]	[0.036..0.036]	[0.0..0.0]	[1.042..1.042]	[1238.3129..1238.3129]	[0.036..0.036]	[0.0..0.0]	0.8827558	[1093.1279..1093.1279]
Group-1	PC 32:2:0	227.2	20180509_PC_heart_01.mzXML	30.0	1353.2	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[1.068..1.068]	[1445.218..1445.218]	[0.034..0.034]	[0.0..0.0]	[1.068..1.068]	[1445.2175..1445.2175]	[0.034..0.034]	[0.0..0.0]	0.8827558	[1275.7742..1275.7742]
