Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 32:0:0	0.900257	0.877585	1.013237	[0.877585..1.013237]	Sum	[0.812555..0.812555]	[0.8470868..0.8470868]	[0.8201844..0.8201844]	[0.812555..0.8470868]	
					PC 16:0/16:0	[0.8125551..0.8125551]	[0.8470868..0.8470868]	[0.8201844..0.8201844]	[0.8125551..0.8470868]	
PC 32:1:0	2.2196476	3.668856	0.0	[0.0..3.668856]	Sum	[0.5268999..0.5268999]	[0.5141838..0.5141838]	[0.5120444..0.5120444]	[0.5120444..0.5268999]	
					PC 14:0-18:1	[0.10395617..0.10395617]	[0.087514766..0.087514766]	[0.098056056..0.098056056]	[0.087514766..0.10395617]	
					PC 16:0-16:1	[0.4229438..0.4229438]	[0.4266691..0.4266691]	[0.41398835..0.41398835]	[0.41398835..0.4266691]	
PC 32:2:0	0.0	0.19496161	0.15608147	[0.0..0.19496161]	Sum	[0.8067943..0.8067943]	[0.7361242..0.7361242]	[0.7412422..0.7412422]	[0.7361242..0.8067943]	
					PC 14:0-18:2	[0.79052055..0.79052055]	[0.72377515..0.72377515]	[0.7269965..0.7269965]	[0.72377515..0.79052055]	
					PC 16:1/16:1	[0.016273854..0.016273854]	[0.012349097..0.012349097]	[0.014245741..0.014245741]	[0.012349097..0.016273854]	
PC 34:1:0	11.5171	11.59632	12.23854	[11.5171..12.23854]	Sum	[9.95894..9.95894]	[9.537845..9.537845]	[9.818353..9.818353]	[9.537845..9.95894]	
					PC 16:1-18:0	[0.087587364..0.087587364]	[0.045993317..0.045993317]	[0.080137126..0.080137126]	[0.045993317..0.087587364]	
					PC 16:0-18:1	[9.871354..9.871354]	[9.491852..9.491852]	[9.738215..9.738215]	[9.491852..9.871354]	
PC 34:2:0	49.303005	48.257534	49.28642	[48.257534..49.303005]	Sum	[32.389107..32.389107]	[32.400803..32.400803]	[32.692398..32.692398]	[32.389107..32.692398]	
					PC 16:0-18:2	[32.38911..32.38911]	[32.400806..32.400806]	[32.692398..32.692398]	[32.38911..32.692398]	
PC 34:3:0	1.0253569	1.0451058	1.0930254	[1.0253569..1.0930254]	Sum	[4.58034..4.58034]	[5.0097647..5.0097647]	[4.63767..4.63767]	[4.58034..5.0097647]	
					PC 16:1-18:2	[4.245076..4.245076]	[4.659343..4.659343]	[4.3184323..4.3184323]	[4.245076..4.659343]	
					PC 16:0-18:3 (0z-9z)	[0.3352637..0.3352637]	[0.35042235..0.35042235]	[0.31923822..0.31923822]	[0.31923822..0.35042235]	
PC 36:1:0	3.2397537	3.1852834	3.3241277	[3.1852834..3.3241277]	Sum	[2.1929705..2.1929705]	[2.282019..2.282019]	[2.5312884..2.5312884]	[2.1929705..2.5312884]	
					PC 16:0-20:1	[0.06756723..0.06756723]	[0.06650153..0.06650153]	[0.06924991..0.06924991]	[0.06650153..0.06924991]	
					PC 18:0-18:1	[2.1254036..2.1254036]	[2.2155175..2.2155175]	[2.4620385..2.4620385]	[2.1254036..2.4620385]	
